int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,5152,991,2007,2009,2009,2010,79714137951,128598255407,930,1853,2191,2241,17144,1317407
Oil tanker,2104,945,2009,2009,2009,2009,514670596531,969699981788,1372,2139,3945,4000,32538,2515979
Liquefied gas tanker,2915,664,2006,2008,2007,2007,684762154533,531461464463,2387,3314,4146,4173,71998,4603218
Bulk carrier,7981,2928,2009,2010,2010,2010,1008232812508,1801346362098,2734,3057,3391,3390,65338,5054255
General cargo,9441,1729,2003,2005,2008,2008,92800352688,132396402429,918,1426,1814,1818,16728,1280106
Offshore,44,30,2007,2007,2016,2016,3821379297,3047558411,878,2787,3807,3631,401,25926
Container,12388,1137,2006,2008,2008,2008,400994045730,458098987932,804,1177,1528,1489,57391,4431451
Ferry-RoPax,1001,101,2000,2005,1998,1999,4974744242,1370149727,131,5698,397,369,2246,170493
Miscellaneous - fishing,983,245,1989,1996,1997,1999,1704103862,1266108000,274,5177,2399,2595,1557,117012
Refrigerated bulk,678,148,1996,1995,1996,1996,8851763732,9658548301,1868,2138,1903,1925,4538,345817
Vehicle,2697,579,2005,2007,2007,2007,463838342535,155729289073,2549,3475,3526,3518,28913,2237404
Ro-Ro,586,75,1999,2006,2001,2002,5069252141,2395420458,557,1499,726,822,1430,110283
Service - other,248,158,1999,2001,1999,1999,2147577748,1625234714,933,4943,2560,2710,1280,96432
Service - tug,330,115,2002,2002,2003,2003,229670354,198061323,755,2396,1226,1232,454,34112
Cruise,795,46,2004,2000,2008,2006,55954612981,5024928746,534,772,727,721,9261,717042
Ferry-pax only,338,19,1995,1999,2001,2001,198846228,62698560,485,11560,1762,2133,427,32042
Other liquids tankers,25,3,2003,2003,2000,2001,299727968,366479739,1308,5238,3544,3722,93,7230
