dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,31665,693,2008,2009,2010,2010,23706578093,39192338828,225,442,448,433,18212,1386287
Oil tanker,48591,655,2007,2008,2009,2009,96969223926,172186697357,232,431,458,459,35325,2683816
Liquefied gas tanker,20072,376,2004,2008,2008,2008,41117948946,35137728129,224,672,808,688,16987,1245586
General cargo,63531,1456,2008,2006,2006,2007,46749535294,75488638635,236,369,393,369,21282,1610898
Bulk carrier,31848,1921,2005,2010,2009,2009,143395685925,246196293579,235,442,470,464,19123,1472048
Offshore,74,16,2003,2004,2005,2004,117447097,108674713,356,777,446,493,105,7907
Container,21108,773,2006,2007,2008,2007,78894311943,94865638738,209,258,251,249,16370,1259190
Ferry-RoPax,14966,96,2005,2005,2007,2007,62987558197,27032895553,252,1075,425,427,28083,2156024
Vehicle,12481,539,2007,2007,2007,2007,110372040262,41156107650,256,297,344,346,14996,1157935
Ro-Ro,11183,72,2008,2006,2009,2009,52558122546,31171256915,391,465,488,498,20215,1562180
Service - other,2560,134,2000,2001,2000,1999,8925525852,6123150259,361,2287,1579,1402,5133,386111
Service - tug,5015,94,2003,2003,2004,2003,785687697,768733633,168,671,524,484,2225,167241
Miscellaneous - fishing,1698,125,1995,2000,2000,2001,2024268901,1685605781,451,1966,1627,1727,2450,183992
Refrigerated bulk,574,84,1996,1997,1997,1997,1559399751,1640327100,314,425,361,362,966,73329
Cruise,1014,38,1998,2000,2001,1999,20635999293,2573714862,249,273,344,363,4340,335892
Ferry-pax only,831,15,1996,2000,2000,1998,287848616,50799668,361,4466,813,1069,553,41549
Other liquids tankers,1,1,2014,2014,2014,2014,11300432,15685286,400,400,400,400,8,633
