dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,599,40,1996,2005,2007,2007,908570474,1637853061,157,292,269,273,290,22110
Chemical tanker,42,32,2012,2011,2011,2011,285614030,480378580,183,256,263,263,63,4835
Container,71,10,2000,2002,2002,2002,244205543,305323574,145,593,371,369,57,4371
Ro-Ro,1251,15,2000,2003,1992,1992,161045873,202832925,122,138,156,148,518,38856
Vehicle,14,11,2004,2006,2005,2005,95363660,29728189,147,149,148,149,6,473
Service - tug,52,10,1974,1988,1990,1987,5069458,4052573,222,471,429,402,31,2355
Cruise,685,36,2002,2002,2001,2001,13316695706,1216867381,164,292,202,206,3090,238690
Offshore,176,7,1992,2002,1994,1990,61148960,123424570,138,377,444,607,124,9329
Bulk carrier,22,11,1995,1997,2003,2004,148963544,260735527,129,324,217,218,20,1515
General cargo,179,7,2001,1994,2003,2003,84442621,116805711,144,518,330,336,29,2218
Ferry-pax only,171,1,2002,2002,2002,2002,51533081,14080870,118,118,121,121,42,3128
Service - other,28,8,1985,1992,1997,1995,9717232,5711934,253,330,279,267,12,894
Liquefied gas tanker,12,3,2002,2001,2002,2003,20901355,23843105,123,137,146,145,13,973
