int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,438,276,2006,2008,2009,2009,56937180635,105846473865,1239,2486,2742,2786,6618,509319
Offshore,268,24,1996,2001,1991,1989,1016194537,1342919644,87,2615,1773,1586,289,21972
Vehicle,61,38,2006,2009,2007,2007,6355653876,2196026602,975,2097,1975,2075,377,29167
Chemical tanker,256,178,2009,2009,2009,2009,9036546604,14978637617,1162,1444,1435,1432,1578,121330
Container,957,206,2002,2005,2006,2006,136341666021,156590065764,902,3551,3024,3001,15701,1213336
Ro-Ro,925,22,1996,2000,1999,1997,632527769,488927309,195,575,550,346,502,37917
Service - tug,110,43,1986,1993,1997,1997,47421772,41445621,314,1247,1042,1005,128,9597
General cargo,284,65,1993,2004,2003,2003,1635611702,2098679427,347,1190,1115,1138,328,25037
Cruise,1555,103,2001,2003,2005,2004,66165442971,6118224736,283,592,451,434,13147,1006530
Service - other,43,26,1991,1996,2001,2002,357300527,184593724,502,2276,2348,2408,144,10850
Liquefied gas tanker,34,21,2005,2009,2012,2012,995811381,1045732292,1155,1534,1503,1553,172,12818
Bulk carrier,141,69,1997,2007,2006,2006,4093970481,6914430869,869,1643,1130,1127,417,31969
Miscellaneous - fishing,1,1,1996,1996,1996,1996,284702,253803,1475,1475,1475,1475,1,75
Ferry-pax only,27,3,1999,1975,2001,2000,11460265,3082122,181,668,182,180,6,461
Refrigerated bulk,1,1,1992,1992,1992,1992,16065121,17149754,1231,1231,1231,1231,6,440
Ferry-RoPax,18,3,1996,1997,1994,1994,123797613,7805384,689,525,1274,1118,117,8779
