int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,438,276,2006,2008,2010,2010,57819200284,107214706861,1171,2606,2784,2822,5210,402097
Vehicle,61,38,2006,2009,2007,2007,3085318049,1052340787,563,1144,959,994,178,13780
Offshore,268,24,1996,2001,1994,1993,362540391,437075097,86,1636,633,516,164,12346
Container,957,206,2002,2005,2004,2004,45026100952,52086385249,463,1112,999,998,5958,457790
Chemical tanker,256,178,2009,2009,2010,2010,12138512227,20142545287,1293,2041,1927,1926,1823,140611
Ro-Ro,924,22,1996,2000,2000,1998,692216669,498702862,197,857,602,354,396,30027
Service - tug,110,43,1986,1993,2000,2000,42632236,38778086,307,690,937,941,111,8315
Service - other,43,26,1991,1996,2005,2005,404805909,196196992,352,1920,2660,2560,165,12440
General cargo,284,65,1993,2004,2000,2000,2266193600,2857226176,207,1625,1545,1549,365,27944
Liquefied gas tanker,34,21,2005,2009,2015,2015,4099596301,3782423146,1322,3425,6186,5616,451,31144
Bulk carrier,141,69,1997,2007,2006,2006,6347954105,11055978099,854,2099,1752,1802,500,38489
Cruise,1555,103,2001,2003,2005,2004,64425259018,5877253452,287,562,439,417,13855,1065927
Miscellaneous - fishing,1,1,1996,1996,1996,1996,142020,126607,736,736,736,736,0,35
Ferry-pax only,27,3,1999,1975,2000,2000,11657978,3167690,183,522,186,185,7,556
Refrigerated bulk,1,1,1992,1992,1992,1992,13991200,14935812,1072,1072,1072,1072,4,338
Ferry-RoPax,18,3,1996,1997,1996,1996,173007742,13634641,244,1376,1781,1953,49,3739
