port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
The Bight - Clifton Pier,10,4,2003,2001,2009,2009,4051545,5698103,164,295,355,368,2,176
Gorda Cay - The Bight,1,1,2006,2006,2006,2006,82356,143743,169,169,169,169,0,19
The Bight - Stella Maris,4,3,1996,1996,1997,1997,169085,275652,88,93,89,89,0,30
Great Harbour Cay - Great Exuma Island,7,4,2005,2004,2005,2006,685152,1039805,202,202,199,201,1,111
Nassau - Clifton Pier,13,5,1999,1997,2000,1996,3245483,4263260,872,827,829,782,20,1520
Freeport - San Andros,23,5,2004,1995,2002,2002,6961602,10549062,101,162,111,111,4,287
San Andros - Clifton Pier,1,1,1961,1961,1961,1961,88481,80660,489,489,489,489,0,26
Clifton Pier - Harbour Island,68,10,1989,1992,1995,1994,6337017,9175573,108,330,191,199,17,1279
Great Harbour Cay - West End,5,5,1995,1995,1999,1999,213818269,21864600,356,624,1224,1049,42,3217
Bock Cay - Nassau,24,6,2005,2003,2003,2001,4102204,5945054,225,404,308,329,10,719
Freeport - Great Exuma Island,12,3,2008,2005,2008,2008,29446847,47830430,275,715,1022,1114,9,650
Freeport - Bock Cay,3,1,2009,2009,2009,2009,1488383,1800442,302,302,452,452,2,116
Freeport - Congo Town,2,1,2009,2009,2009,2009,351628,425351,160,160,160,160,1,38
Nassau - Little San Salvador,135,16,1999,2001,1999,1999,1873373066,186448796,177,292,181,181,475,36769
Marsh Harbor - The Bight,2,1,2009,2009,2009,2009,666556,806308,304,304,304,304,1,51
Matthew Town - Nassau,29,6,2001,2002,2003,2003,5219165,7004377,344,343,387,388,13,1012
San Andros - Marsh Harbor,3,2,2001,2000,2001,2001,394450,452406,120,135,147,148,1,41
Marsh Harbor - Rock Sound,1,1,2001,2001,2001,2001,197596,234509,181,181,181,181,0,14
Great Harbour Cay - South Riding Point,10,3,2004,2004,2003,2004,50977762,21601808,60,71,61,80,10,789
Matthew Town - Cape Eleuthera,1,1,1978,1978,1978,1978,51011,51011,253,253,253,253,0,19
Cape Eleuthera - Nassau,55,10,2000,2000,2000,2000,571793077,66311495,190,422,211,222,226,17282
Matthew Town - Stella Maris,5,4,1994,1993,1997,1998,1101643,1517098,294,307,388,403,1,102
Matthew Town - Little San Salvador,3,1,1978,1978,1978,1978,153181,153181,253,253,253,253,1,56
Freeport - Little San Salvador,29,7,2000,1999,2001,2001,535102141,48487165,225,250,225,228,167,12918
Freeport - Cape Eleuthera,13,3,2004,2001,2004,2004,333238889,38362166,249,244,247,248,87,6746
Little San Salvador - Clifton Pier,10,3,1986,1995,1999,1995,15528233,2516189,146,148,147,143,6,501
Nassau - Cockburn Town,27,5,2006,2004,2004,2003,12135813,16196940,345,416,537,571,21,1561
Cape Eleuthera - Great Harbour Cay,1,1,1998,1998,1998,1998,217426,321653,264,264,264,264,0,22
Bock Cay - Stella Maris,10,7,1991,1995,1995,1995,1126796,1569296,83,229,220,212,1,92
Clifton Pier - Cockburn Town,9,4,1996,1993,1998,1998,2320338,3126994,215,511,399,429,3,202
Matthew Town - Clifton Pier,8,2,1991,1994,1994,1994,2400751,3104177,404,569,517,547,3,194
Nassau - The Bight,99,4,2013,2005,2012,2012,10259312,12831543,137,151,207,208,54,4083
Little San Salvador - Stella Maris,8,2,1984,1990,1995,1995,2333050,3544738,113,1233,614,560,3,215
Cape Eleuthera - Great Exuma Island,1,1,1998,1998,1998,1998,113900,168500,138,138,138,138,0,10
Freeport - Freeport,4,2,1999,1999,1999,1999,194346764,249378855,2620,2620,2601,2598,36,2767
Bock Cay - Cockburn Town,2,1,1989,1989,1989,1989,117579,127240,118,118,118,118,0,9
Stella Maris - Clifton Pier,16,4,1991,1994,1997,1996,5044793,6656314,294,571,592,569,6,414
Clifton Pier - Gorda Cay,4,2,1989,1989,1989,1989,295122,585794,93,93,191,210,1,42
Cockburn Town - Stella Maris,5,4,1998,1996,2001,2000,424832,497477,118,125,149,148,2,124
Stella Maris - Cape Eleuthera,3,3,2006,2006,2009,2007,667308,542751,406,422,444,489,3,223
Clifton Pier - South Riding Point,1,1,1981,1981,1981,1981,17360,26522,161,161,161,161,0,9
Clifton Pier - West End,3,2,1996,1992,2002,2002,321084,396087,222,208,196,196,1,49
Green Turtle Cay - Nassau,89,5,2002,1999,2001,2001,7558629,8978384,142,219,168,168,10,749
San Andros - Gorda Cay,1,1,1998,1998,1998,1998,59888,135549,62,62,62,62,0,7
Clifton Pier - Marsh Harbor,75,4,2001,1996,2002,2001,12731628,17253301,165,192,193,194,23,1727
Cockburn Town - Cape Eleuthera,2,2,2009,2009,2001,2001,9679544,16534156,454,454,339,336,1,94
Cape Eleuthera - Clifton Pier,3,3,2001,2001,1999,1994,106662,132004,60,68,63,67,0,22
Harbour Island - Green Turtle Cay,4,3,1995,2000,1996,1993,412145,555503,161,216,215,223,1,94
Nassau - Congo Town,13,4,2006,2001,2004,2003,1276765,1799187,78,82,202,214,4,263
South Riding Point - Gorda Cay,4,3,2009,2009,2010,2010,36598450,30952017,100,138,107,193,7,525
Harbour Island - Cockburn Town,1,1,1998,1998,1998,1998,7087562,2001937,160,160,160,160,0,26
Clifton Pier - Green Turtle Cay,21,3,1986,1990,1987,1986,2710620,4822980,295,404,320,311,9,663
Harbour Island - Cape Eleuthera,2,2,2002,2002,2002,2002,540702,757978,516,516,501,517,0,20
Little San Salvador - Bock Cay,2,1,1982,1982,1982,1982,96649,166009,114,114,114,114,0,21
Green Turtle Cay - Great Harbour Cay,3,1,1982,1982,1982,1982,204442,351160,156,156,160,160,0,25
Green Turtle Cay - Great Exuma Island,1,1,1982,1982,1982,1982,114566,196784,270,270,270,270,0,34
Bock Cay - Cape Eleuthera,1,1,1982,1982,1982,1982,49304,84688,116,116,116,116,0,14
Harbour Island - Little San Salvador,2,2,1992,1992,1989,1989,131132,225380,147,147,143,143,0,16
Cockburn Town - Little San Salvador,1,1,2004,2004,2004,2004,77948,94310,102,102,102,102,0,5
Cockburn Town - Great Exuma Island,8,1,2004,2004,2004,2004,1193269,1443746,146,146,194,194,2,158
Great Exuma Island - Marsh Harbor,2,2,1996,1996,2000,1998,773388,1117982,655,655,694,666,1,52
Great Harbour Cay - Bock Cay,1,1,2001,2001,2001,2001,124959,215010,253,253,253,253,0,21
Matthew Town - Congo Town,1,1,2001,2001,2001,2001,166021,285664,336,336,336,336,0,30
Cockburn Town - Marsh Harbor,1,1,1989,1989,1989,1989,200882,432935,577,577,577,577,0,33
Great Exuma Island - Bock Cay,1,1,1989,1989,1989,1989,200623,432377,577,577,577,577,1,41
Rock Sound - Green Turtle Cay,1,1,1989,1989,1989,1989,83087,179066,239,239,239,239,0,12
Bock Cay - Marsh Harbor,1,1,1989,1989,1989,1989,99422,214272,286,286,286,286,0,29
Cockburn Town - Great Harbour Cay,1,1,1999,1999,1999,1999,223348804,22841948,2655,2655,2655,2655,44,3415
Gorda Cay - Great Harbour Cay,1,1,2016,2016,2016,2016,1339142,1954738,306,306,306,306,1,58
