dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ro-Ro,54,2,2018,2016,2018,2018,1727394,1536818,64,69,65,64,7,519
Service - tug,4,1,2001,2001,2001,2001,89094,59403,88,88,88,88,0,16
General cargo,73,2,2015,2001,2013,2009,3702837,1764542,98,130,99,106,2,162
