dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,118,22,1996,1996,1998,1999,391756563,312195805,969,2359,2089,1855,478,35927
Oil tanker,37,17,2004,2004,2007,2007,771508627,1291289326,1334,2629,3331,3409,325,24470
Service - other,157,30,1986,1986,1987,1986,399573219,110992309,498,1179,851,888,356,26741
Service - tug,86,19,1997,1997,1998,1999,131870435,122367523,724,1284,1058,1062,145,10956
Ferry-pax only,10,3,1968,1968,1969,1969,5511407,1095802,2750,2780,2650,2572,30,2227
Other liquids tankers,2,2,1996,1996,1998,1998,1021520,1955020,2164,2164,2164,2187,137,10622
Ro-Ro,1,1,2006,2006,2006,2006,2020462,1405601,236,236,236,236,0,30
Miscellaneous - fishing,1,1,1984,1984,1984,1984,1832161,1050574,2538,2538,2538,2538,4,312
Bulk carrier,1,1,1984,1984,1984,1984,748561,938921,286,286,286,286,3,219
Ferry-RoPax,3,1,1985,1985,1985,1985,53254991,18371809,860,860,1550,1550,15,1141
