int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,819,178,1990,1991,1993,1993,1131423183,1378377335,294,505,489,489,308,23233
Ferry-RoPax,467,10,1991,1991,1988,1988,1544518032,578627529,240,248,316,316,688,51996
Bulk carrier,58,11,1982,1985,2006,2009,162668226,271255937,357,526,847,1000,86,6556
Oil tanker,590,60,2004,2006,2006,2006,1563168787,2485233150,248,628,415,417,1024,76916
Offshore,32,29,1995,1995,2001,2002,71684413,57390873,861,1539,1589,1570,141,10586
Chemical tanker,50,22,2009,2009,2010,2010,104063582,149969279,432,475,479,483,88,6573
Service - other,36,33,1987,1987,1990,1997,92115256,36823700,268,1268,909,1129,149,11189
Service - tug,62,45,2005,2003,2004,2004,83100277,74283785,374,1367,1472,1467,91,6861
Ferry-pax only,6,5,1971,1972,1966,1966,1721461,306531,80,1383,1186,1572,10,722
Ro-Ro,376,7,2004,2001,2005,2005,855941704,587501653,257,262,282,282,265,20479
Other liquids tankers,2,2,1996,1996,1999,1999,271902,524134,576,576,576,586,24,1874
Refrigerated bulk,1,1,1995,1995,1995,1995,978918,976794,266,266,266,266,1,89
Miscellaneous - fishing,1,1,1984,1984,0,0,0,0,0,0,0,0,1,69
