Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,838,58,698,591,2008,2009,2010,2010,204,535,396,371,58,290,736,710,19,52,134,125,400.7,30109,30687,15109729,35729961,47840487,18031,46559,62862
Miscellaneous - fishing,412,46,612,332,1999,1999,1993,1993,614,1466,1693,1809,132,333,579,658,19,63,294,270,452.6,34108,34763,2336281,5182321,5891774,5671,13345,15820
Chemical tanker,344,14,867,1343,2009,2008,2009,2009,249,240,300,301,40,67,151,154,46,58,71,72,719.7,54589,55637,1338571,4251526,5146906,3891,13783,16800
Oil tanker,288,49,1719,3148,2006,2011,2010,2010,210,207,168,166,42,100,85,84,41,53,55,53,964.1,73656,75070,1837804,2327638,2817447,6381,16496,20912
Container,126,26,554,729,2002,2003,2001,2001,253,277,300,302,28,28,39,39,51,42,57,57,202.9,15431,15727,700872,2467264,2783777,5562,20781,24868
Service - other,105,11,146,116,1992,2001,2000,1999,453,1112,1175,1248,67,225,749,746,36,46,115,117,126.4,9497,9680,806185,1654114,1782409,7678,17085,19291
General cargo,99,39,230,300,2005,2007,2005,2005,238,273,274,271,24,43,113,108,38,68,75,73,73.7,5611,5719,303158,934495,1327504,3062,13052,17384
Liquefied gas tanker,99,7,397,443,2003,2010,2008,2008,283,197,246,245,44,46,93,95,61,62,217,215,439.0,33515,34158,169774,828484,764291,1715,12042,17442
Ro-Ro,82,5,25,34,2002,2004,2001,2002,214,269,461,509,30,42,131,122,116,148,430,435,208.3,15643,15943,123215,949942,448269,1503,3667,5227
Refrigerated bulk,19,15,39,47,1989,1990,1991,1991,474,437,418,431,54,98,126,129,68,154,105,106,79.6,5990,6105,138373,302351,340570,7283,15520,16756
Bulk carrier,7,7,39,65,2007,2007,2008,2008,254,239,244,245,23,73,75,76,131,170,152,152,8.2,630,642,24371,60506,84295,3482,14257,17743
Cruise,2,1,8,1,1994,1994,1994,1994,233,233,233,233,18,18,19,19,7,7,7,7,3.1,241,245,1907,15783,21047,953,6584,7828
Ferry-pax only,1,1,0,0,1988,1988,1988,1988,96,96,96,96,22,22,22,22,3,3,3,3,0.0,4,4,340,692,871,340,790,1041
