Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Luanda,743,138,1579,2070,2006,2005,2007,2007,268,847,323,293,42,271,314,218,41,109,129,120,1307.0,99298,101204,8355160,19859246,25414063,11245,30275,39852
Lobito,225,75,622,837,2004,2003,2005,2006,269,686,308,302,40,162,227,216,47,109,90,85,552.5,41920,42725,984948,2711521,3163556,4378,14779,18226
Soyo,224,70,376,400,2005,2007,2009,2008,212,409,310,284,46,205,202,163,36,70,122,108,285.7,21532,21946,3116131,7374163,9592203,13911,37449,50357
Gimboa,132,43,238,370,2007,2006,2011,2011,137,1143,200,179,48,382,381,295,5,28,33,25,95.9,7249,7388,1202386,2734146,3487120,9109,22985,29940
Futila,110,19,302,513,2007,2008,2009,2009,240,309,221,213,50,195,217,163,30,38,51,55,217.1,16568,16887,589516,1424638,1818537,5359,15230,20130
Malongo,110,15,38,36,2008,2007,2008,2008,164,217,200,201,32,72,165,161,50,71,72,71,45.4,3407,3472,793363,1882181,2521417,7212,18693,25250
Palanca,93,12,120,185,2004,2005,2005,2006,142,300,168,166,17,29,61,56,22,76,40,35,64.0,4900,4994,694061,1547652,2023846,7463,18710,24730
Girassol,93,38,426,751,2008,2010,2010,2010,272,350,145,137,105,163,105,86,23,64,94,65,122.6,9401,9582,1358632,3111082,4077866,14609,38094,50910
Cabinda,85,29,173,295,2005,2008,2010,2010,240,623,194,189,30,177,149,107,67,89,72,61,163.2,12305,12542,362794,1059013,1070385,4268,11215,14694
Namibe,83,27,468,488,2000,2000,1996,1997,407,619,465,378,32,97,150,93,61,133,286,156,195.9,14849,15134,856470,2333521,2664131,10319,31356,37721
Greater Plutonio,74,8,143,217,2007,2003,2011,2011,116,305,190,172,33,61,261,161,10,19,40,43,74.3,5665,5774,1032446,2324592,3027001,13952,35067,46094
Saco,71,18,244,313,2005,1999,2003,2007,422,1051,502,446,53,200,203,134,49,55,64,64,188.0,14229,14502,504682,1315750,1538556,7108,21459,25775
Porto Alexandre,69,16,128,71,1988,1991,1991,1991,325,1707,1272,1359,38,216,256,239,33,123,227,297,58.9,4437,4522,477867,1070542,1231051,6926,16512,19767
Dalia,66,24,188,317,2008,2009,2012,2012,258,412,157,145,120,165,130,111,34,82,72,44,69.4,5284,5386,737730,1709249,2244329,11178,29204,38920
Sumbe,41,18,24,12,2001,2004,2003,2004,646,1546,1537,1653,266,580,1277,1401,9,62,43,36,36.9,2771,2824,87687,194507,221135,2139,5033,5967
Takula Terminal,37,12,59,78,2010,2011,2013,2014,189,253,156,146,119,157,317,221,7,6,13,10,30.7,2315,2360,642216,1524729,2026783,17357,45299,61215
Porto Do Ambriz,36,20,23,23,2001,2003,2005,2006,180,278,184,132,44,156,455,420,9,39,45,34,22.1,1664,1696,352543,839481,1097713,9793,25216,33676
Amboim,36,22,22,12,2004,2002,1998,1999,334,666,612,604,58,182,222,227,24,48,69,70,17.6,1320,1346,137951,320742,407376,3832,9652,12506
Baia Dos Tigres,35,10,20,17,1986,1989,1981,1981,80,740,553,724,11,118,311,306,2,43,76,98,17.0,1281,1305,92879,206068,234708,2654,6158,7209
Kiame,28,17,62,87,2003,2005,2008,2010,1067,2451,230,175,252,809,1063,725,19,56,74,70,49.2,3707,3779,296677,668581,818753,10596,26168,33004
Noqui,21,17,23,30,2003,2001,2000,2002,95,177,128,120,13,31,44,38,63,114,114,110,40.8,3072,3131,47389,123409,148369,2257,6547,7633
Benguela,9,8,53,22,1999,1999,1988,1988,2365,2804,4812,4523,299,519,829,819,52,110,55,56,23.1,1759,1793,158196,350908,398947,17577,41367,49038
Dande,1,1,2,3,1986,1986,1986,1986,760,760,760,760,66,66,66,66,6,6,6,6,1.2,89,90,8858,19354,21801,8858,18876,20380
