Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Luanda,612,383,39767,54288,2005,2006,2009,2009,1177,2056,2047,2294,126,277,402,469,40,178,74,80,5422.4,418281,426312,33957943,84741283,99372975,55487,166214,200284
Noqui,277,45,648,934,1998,2000,2000,2001,77,1328,1238,1242,8,147,220,216,15,103,97,88,244.4,18582,18939,1314822,3409930,4205256,4747,13780,16594
Soyo,276,135,47806,46745,2008,2008,2011,2012,188,2575,5826,5346,47,290,481,494,32,92,83,76,6203.3,387463,394902,15039242,78029990,70601545,54490,343071,509591
Lobito,129,80,10632,18018,2002,2005,2008,2008,1345,2376,2680,2832,115,279,550,588,43,187,92,95,1065.4,82215,83793,8199663,20854608,23529248,63563,199020,241848
Malongo,97,12,140,150,2009,2008,2008,2008,179,638,568,630,70,359,344,310,7,26,46,44,84.9,6380,6502,1808183,4419995,5996304,18641,50114,68501
Girassol,86,78,68132,130638,2008,2008,2008,2008,5724,6434,7132,7129,604,609,794,794,38,75,66,66,4168.6,322777,328975,34347689,60331404,64249563,399392,1083910,1347767
Cabinda,73,47,32015,61304,2007,2009,2010,2010,382,4707,6845,6934,185,428,776,776,62,83,72,72,1825.8,141358,144073,15215049,26130705,27587217,208425,566549,707544
Namibe,72,31,1541,1990,1997,1996,2000,2000,1227,1669,1538,1534,102,186,226,221,60,110,57,56,339.0,25949,26448,1828961,6242279,7274004,25402,96712,117875
Futila,65,60,62620,119579,2010,2010,2011,2011,7446,6644,7180,7211,635,602,767,769,46,64,72,72,3627.3,280924,286318,29976696,52461839,55037825,461180,1263328,1582212
Dalia,65,63,55018,104726,2011,2011,2011,2011,7228,6583,6965,7003,645,610,762,764,46,78,61,60,3533.5,273455,278705,27882865,49025791,52319115,428967,1154962,1433300
Gimboa,30,30,20224,38804,2009,2009,2012,2012,7120,7161,7399,7399,552,603,793,794,58,177,109,106,1364.2,105309,107331,10929086,19365449,20705654,364303,969678,1200432
Greater Plutonio,26,25,16583,31793,2008,2008,2013,2013,7239,6482,6270,6261,404,551,824,822,42,246,87,85,1020.8,78968,80484,8230751,14426617,15250921,316567,859086,1070259
Takula Terminal,17,12,1092,1278,2010,2010,2013,2013,169,2074,5673,5414,70,266,583,587,17,34,18,18,112.5,8706,8874,443731,2553842,2298352,26102,179578,274308
Porto Alexandre,15,11,165,97,1989,1989,1986,1988,719,1951,4265,3012,140,352,1602,1261,103,390,414,417,49.6,3749,3821,580590,1289849,1470537,38706,90582,106774
Porto Do Ambriz,12,10,496,844,2004,2007,2009,2009,891,2162,4787,5154,208,300,583,596,34,94,23,21,46.7,3592,3661,578125,1377853,1663225,48177,140648,178091
Amboim,7,7,35,31,2009,2009,2009,2009,3004,2789,2845,2647,716,1238,548,451,10,41,12,10,18.9,1430,1457,351964,862515,1171741,50281,135636,185590
Baia Dos Tigres,5,4,27,34,1990,1992,1988,1988,1180,1099,1416,1435,222,156,218,219,148,130,211,215,24.6,1856,1891,115141,258811,305521,23028,51985,59933
Palanca,4,4,4315,8286,2012,2012,2011,2011,8227,6631,8818,8844,728,573,769,769,75,80,95,94,257.7,19963,20346,1970484,3322437,3457930,492621,1336732,1674455
Saco,3,3,308,562,2007,2007,2013,2013,606,2858,6805,7108,110,305,721,723,78,180,10,9,21.7,1679,1711,122595,355734,409524,40865,182479,224055
Benguela,2,1,3,5,1993,1993,1993,1993,708,708,708,708,72,72,73,73,194,194,194,194,1.1,82,83,16247,46608,66980,8123,26478,38082
Kiame,2,2,1296,2456,2003,2003,2015,2016,12803,12803,7726,7655,648,648,704,706,884,884,72,45,95.2,7362,7503,817063,1505685,1618805,408532,1065121,1315125
