Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,374,308,224659,430152,2010,2010,2010,2010,5646,5015,5242,5256,553,538,827,829,34,56,44,44,11423.5,884751,901738,121455168,214482591,231678265,324746,863798,1071388
Service - tug,366,56,289,234,2003,2008,2012,2011,79,1510,747,651,14,500,726,679,15,92,128,137,268.0,20282,20671,5997385,14182011,18988946,16386,42312,57129
Container,348,101,15069,18319,2004,2005,2006,2005,847,1473,1257,1256,68,102,164,162,40,58,53,53,2490.5,192604,196302,13762503,43952622,48779101,39547,134774,158426
General cargo,272,104,2780,3718,2006,2007,2009,2009,453,1954,1428,1394,66,186,292,285,42,103,90,93,613.1,47024,47927,2884942,9187640,13151596,10606,48547,64971
Bulk carrier,81,75,6410,10804,2006,2007,2009,2008,2528,3251,3182,3155,261,308,429,429,133,156,170,169,653.8,50609,51581,4264919,9580916,12585826,52653,192583,232606
Miscellaneous - fishing,77,54,672,439,1992,1995,1989,1992,2062,4265,5108,5035,261,591,1123,1043,16,181,523,441,287.7,21668,22084,3090499,6855322,7793807,40136,94459,111975
Liquefied gas tanker,76,36,30529,27621,2011,2011,2011,2011,4482,5818,4778,4903,389,500,519,528,36,61,45,48,3278.5,211213,215268,6450664,48087146,39949248,84877,766567,1190739
Refrigerated bulk,75,41,697,798,1990,1991,1992,1992,1216,1644,1730,1704,125,167,300,296,77,90,89,91,438.1,33198,33835,2367120,5172273,5826079,31562,67257,72618
Chemical tanker,75,55,1791,2947,2009,2009,2010,2010,1199,1440,1568,1589,151,211,313,317,41,101,112,109,384.6,29515,30081,1339622,5942604,7075827,17862,91435,112984
Ro-Ro,64,13,573,294,2006,2002,2004,2004,296,330,466,459,34,32,47,48,36,44,57,56,107.3,8241,8399,351625,950575,832293,5494,12986,14501
Vehicle,34,31,5562,1767,2010,2010,2011,2011,2421,2571,2656,2639,151,165,196,193,10,13,13,13,314.1,24329,24796,1789546,7889977,9137398,52634,200061,215309
Service - other,16,14,177,162,2002,2002,2000,2005,1114,2796,1675,2205,208,365,434,435,30,288,414,435,72.1,5476,5582,1131967,2322548,2502686,70748,157426,177756
Ferry-pax only,3,1,0,0,1988,1988,1988,1988,90,90,69,69,17,17,18,18,1,1,1,1,0.1,9,9,734,1494,1882,245,569,750
Cruise,2,2,67,8,1997,1997,1999,1999,726,726,843,859,48,48,55,56,8,8,9,9,19.1,1483,1511,44688,166020,166334,22344,73357,68269
