int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,13,12,1988,1988,1994,1994,88125041,78235670,7832,11060,8518,7951,80,5982
Cruise,46,30,1998,1999,2000,1999,4515188184,476503902,1951,1939,1966,1985,1057,81741
General cargo,59,28,2003,2001,2007,2007,1238794554,1366079727,2378,3209,2020,2114,259,19924
Ro-Ro,5,5,1996,1996,2013,2013,59805990,30529565,57,543,2137,1911,60,4518
Liquefied gas tanker,8,2,2005,2005,2005,2005,63772943,65384656,1955,1955,2121,2121,28,2180
Container,111,30,2008,2008,2009,2009,9657250591,12028299915,3665,3629,3546,3537,1641,126980
Service - other,9,8,1999,2000,2009,2007,416009391,181816586,5840,5653,6778,5815,94,7185
Ferry-pax only,4,2,2005,2008,2001,2001,9843662,6548885,1346,1346,1572,1643,12,896
Vehicle,11,10,2006,2006,2006,2005,4398946270,2155669738,6113,5659,5704,5725,329,25449
Refrigerated bulk,11,6,1995,1995,1997,1997,378915033,428042216,9429,7781,8875,8767,197,14927
Bulk carrier,2,2,2010,2010,2011,2011,159604146,249216773,3506,3506,3572,3550,18,1357
Chemical tanker,13,2,2013,2013,2013,2013,774624392,1289971797,1900,1902,1984,1984,114,8799
Ferry-RoPax,2,2,2006,2006,2012,2012,1357777,837929,303,303,411,529,5,388
Offshore,2,1,1981,1981,1981,1981,6348893,10962118,4568,4568,4568,4568,13,1008
Service - tug,1,1,2015,2015,2015,2015,3076559,2774936,4309,4309,4309,4309,12,865
