int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,59,28,2003,2001,2006,2006,2554159415,2687369962,2610,3259,4165,4158,400,30780
Cruise,46,30,1998,1999,2001,1999,4337845695,438385257,1383,1587,1889,1826,991,76560
Miscellaneous - fishing,13,12,1988,1988,1989,1990,75344869,67331943,5237,8772,7283,6843,61,4572
Liquefied gas tanker,8,2,2005,2005,2005,2005,24033674,24641069,635,634,799,799,12,920
Ro-Ro,5,5,1996,1996,2012,2012,110893989,58023166,1049,1885,3963,3633,38,2892
Container,111,30,2008,2008,2009,2008,7642041538,9511914554,2508,2943,2806,2797,1131,87424
Service - other,9,8,1999,2000,2004,2002,256589110,156025412,4310,5185,4180,4991,101,7707
Refrigerated bulk,11,6,1995,1995,1995,1995,269501243,308271006,6335,5904,6312,6314,163,12348
Ferry-pax only,4,2,2005,2008,2003,2002,9624018,5708058,1772,2344,1537,1432,9,692
Vehicle,11,10,2006,2006,2006,2005,1719268223,839553736,2228,2229,2230,2230,122,9453
Bulk carrier,2,2,2010,2010,2010,2010,98930542,155401165,2212,2212,2214,2214,11,829
Chemical tanker,13,2,2013,2013,2013,2013,1260219226,2098058848,2554,2241,3227,3226,156,12094
Ferry-RoPax,2,2,2006,2006,2000,2002,74665,8879,38,38,23,6,8,575
Offshore,2,1,1981,1981,1981,1981,5744786,9919054,4133,4133,4133,4133,12,874
Service - tug,1,1,2015,2015,2015,2015,1994547,1799004,2793,2793,2793,2793,2,185
