Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,19,19,81,138,2009,2009,2009,2009,95,157,153,152,35,56,96,95,109,145,155,155,18.0,1388,1414,55157,122063,159621,2903,10458,12583
Ferry-pax only,18,4,18,3,2004,2003,2000,2000,1712,5069,6806,7809,306,1186,3626,4187,90,112,251,218,56.1,4215,4296,280500,571265,719618,15583,36238,47774
Service - tug,12,3,9,4,2009,2009,2009,2009,1746,1997,2888,2850,566,546,1297,1379,280,260,1247,1221,38.2,2869,2924,107423,254022,340122,8952,23115,31210
Oil tanker,7,4,225,421,2006,2005,2002,2002,355,697,675,701,170,240,371,375,5,28,18,18,24.4,1892,1928,203932,375747,444092,29133,72798,89564
General cargo,7,7,28,37,2007,2007,2007,2007,140,355,225,210,39,194,190,176,96,83,117,117,8.5,646,658,23497,77469,113180,3357,15944,22133
Liquefied gas tanker,6,5,41,46,2008,2006,2012,2012,259,382,409,427,58,58,70,70,44,78,35,34,8.8,676,689,34903,101121,111670,5817,31849,41882
Chemical tanker,3,3,5,8,2011,2011,2011,2011,70,63,62,62,18,29,28,28,32,32,32,32,1.7,133,135,1605,11756,13554,535,4621,5680
Ro-Ro,3,2,10,7,1998,2002,2000,2002,267,228,146,131,25,27,29,28,6,10,9,10,1.7,132,134,16627,105808,54808,5542,13411,18030
Ferry-RoPax,2,2,10,3,2001,2001,2001,1997,709,709,651,571,28,28,28,20,28,28,28,28,2.9,220,224,17110,42311,51916,8555,18261,16632
Vehicle,1,1,1,0,2013,2013,2013,2013,21,21,21,21,16,16,16,16,9,9,9,9,0.2,18,18,448,1975,2287,448,1703,1833
