Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,268,108,18934,21980,2007,2008,2009,2009,630,1019,1060,1089,61,86,150,151,25,31,28,27,2016.7,156164,159163,14228417,40478278,45523917,53091,171064,199210
Bulk carrier,180,160,10705,18994,2008,2009,2009,2009,1232,1884,1898,1904,178,228,348,349,17,53,48,48,971.1,75190,76633,5891232,14096269,17305042,32729,125009,150305
General cargo,150,87,2005,2747,1994,1998,2007,2008,750,1298,1425,1452,108,205,285,285,47,81,85,85,340.2,26046,26546,1750825,5749982,8333014,11672,56143,76474
Vehicle,111,83,6815,2291,2007,2008,2009,2009,582,1138,1056,1026,46,84,167,159,10,14,13,13,419.5,32481,33105,2320153,10229387,11846672,20902,79450,85505
Ferry-RoPax,58,3,312,97,2001,2002,1999,1997,594,610,793,790,18,19,38,28,62,62,129,128,129.1,9834,10023,602232,1489272,1827346,10383,22164,20187
Liquefied gas tanker,51,32,10427,8368,2005,2010,2014,2014,1079,3301,4459,4098,195,259,425,423,43,76,76,78,1091.7,69729,71068,2338652,14902751,12794541,45856,370363,560459
Chemical tanker,50,42,1636,2708,2008,2009,2005,2005,1044,1647,1696,1713,204,168,239,240,32,41,107,107,321.1,24823,25300,1083833,4945600,5767499,21677,113753,137595
Ro-Ro,45,14,892,691,2000,2002,2007,2008,584,868,766,727,41,81,76,71,38,72,108,97,145.2,11137,11351,1003157,4026453,2708229,22292,53138,63736
Cruise,39,32,2888,301,2003,2003,2005,2004,787,1346,1381,1368,81,88,123,124,14,26,20,20,603.1,46700,47596,1169155,5855308,6766405,29978,131831,141436
Oil tanker,25,18,739,1306,2008,2009,2011,2011,304,614,527,519,128,154,206,205,23,29,44,44,85.1,6588,6715,707276,1462270,1644667,28291,71122,88014
Service - other,1,1,0,0,2015,2015,2015,2015,258,258,258,258,50,50,50,50,40,40,40,40,0.2,17,17,684,1403,1512,684,1522,1719
Ferry-pax only,1,1,0,0,1994,1994,1994,1994,251,251,251,251,18,18,18,18,26,26,26,26,0.1,7,7,310,631,795,310,721,950
