Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Egypt,293,153,4439,4747,2003,2006,2009,2009,369,397,431,419,36,66,83,72,25,52,44,47,693.0,53079,54098,3303915,10268262,11047021,11276,37739,45020
Saudi Arabia,206,132,7447,8548,2006,2007,2008,2008,601,713,698,716,47,78,91,112,16,41,31,39,740.7,57323,58424,5147869,15015591,17026322,24990,82759,97058
Turkey,80,50,2796,3859,2002,2003,2007,2007,1045,1169,1043,1063,108,120,110,116,14,86,93,121,348.0,26919,27435,2148809,5676303,6648288,26860,88559,105189
Spain,68,40,7303,7222,2007,2008,2011,2011,2270,2314,2259,2339,156,175,164,174,13,38,26,37,769.1,59214,60351,4573726,15652133,17812132,67261,249224,294478
United Arab Emirates,31,30,2780,3601,2006,2007,2006,2008,2705,2764,2789,2784,218,229,224,246,20,41,41,49,362.9,28097,28636,1442400,4890922,5979325,46529,206956,251973
Lebanon,29,18,1172,434,2005,2005,2007,2007,715,725,732,733,69,74,70,70,10,14,11,11,67.4,5218,5318,439816,1902967,2204033,15166,56942,61265
Israel,27,26,274,261,2007,2008,2009,2009,191,285,281,223,54,60,67,78,27,44,28,33,49.3,3802,3875,182361,550161,647717,6754,24888,29509
Italy,22,13,1713,1276,2012,2009,2011,2013,1561,1770,1701,1615,132,151,135,133,25,40,27,31,227.2,17593,17930,1424900,3311753,3723002,64768,174131,185140
Romania,22,13,301,475,1982,1984,2000,2004,1446,1515,1538,1549,152,179,198,206,14,73,176,200,42.9,3283,3346,317185,847895,1146129,14418,49780,66387
Yemen,21,21,557,935,2001,2001,2004,2004,1296,1360,1332,1327,130,181,169,172,31,48,58,57,57.9,4464,4550,409769,1041551,1437090,19513,79733,99978
Djibouti,18,18,720,972,2010,2010,2011,2010,1259,1335,1324,1327,106,118,111,114,26,35,33,37,63.2,4888,4982,450897,1184221,1499657,25050,93757,113412
India,17,16,1847,2292,2005,2005,2006,2008,3293,3502,3454,3562,294,302,281,307,34,64,70,98,181.4,14035,14305,960996,3546969,4279501,56529,245256,294524
Sudan,16,16,304,317,2007,2007,2010,2008,734,785,746,781,77,250,210,302,26,52,31,40,41.1,3144,3204,173946,585820,787260,10872,48135,60664
Oman,16,16,2028,1033,2009,2009,2008,2012,2453,2404,2378,2545,161,177,162,230,18,43,31,54,348.3,26979,27497,780662,3595658,4068065,48791,221968,242749
Singapore,13,13,3133,1977,2007,2007,2007,2007,4962,5013,4986,5016,324,339,328,349,10,34,23,47,244.0,18891,19253,1346649,4897282,5776287,103588,385185,438170
Gibraltar,13,13,1056,1872,2012,2012,2012,2012,2382,2419,2417,2416,222,222,221,221,185,225,228,227,100.2,7761,7910,531587,1317599,1587494,40891,160807,193691
Greece,10,10,502,116,2002,2002,2004,2007,870,909,885,890,78,88,78,91,28,34,22,25,99.0,7666,7813,148159,965787,1224095,14816,88905,105609
United States of America,7,7,4389,3713,2011,2011,2015,2015,7182,7157,7341,7355,493,547,522,530,51,61,60,67,460.6,28233,28775,976714,6162461,5311143,139531,1086111,1653183
Qatar,5,5,652,591,2008,2008,2009,2009,3019,3141,3297,3259,266,282,335,325,9,17,11,11,94.6,7322,7463,283366,1117243,1147299,56673,288695,386536
