Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Moin,62,17,461,576,2006,2008,2004,2004,402,394,432,433,61,522,69,68,88,311,87,88,144.4,11079,11292,576198,1979971,2184861,9294,32952,38934
Caldera,50,18,393,415,1999,1996,2007,2008,328,690,608,855,68,98,149,152,20,43,104,99,97.6,7438,7581,568564,1910853,2334334,11371,40998,51863
Quepos,38,9,51,14,1989,1993,1991,1989,138,232,162,181,15,46,31,33,10,13,15,19,20.6,1567,1597,64809,319755,636735,1705,8490,15247
Limon,38,10,225,257,2005,2004,2002,2003,401,549,542,646,46,87,95,94,22,26,26,27,66.9,5120,5218,258687,969009,1112594,6808,27364,33377
Golfito,26,6,20,7,1987,1986,1989,2002,268,262,328,249,67,52,111,54,4,14,12,40,31.6,2377,2423,93522,139936,169713,3597,6455,8470
Puerto Jimenez,21,6,15,5,1989,1995,1990,1990,136,158,142,140,15,22,19,17,7,6,7,8,7.6,573,584,33135,123992,244706,1578,6189,11061
Puntarenas,17,6,26,3,1985,1990,1991,1990,270,205,148,153,67,36,24,29,12,14,15,14,18.0,1370,1396,36314,90326,108491,2136,5333,6413
Papagayo,4,4,23,2,1980,1980,1995,1989,272,275,251,249,17,22,17,19,26,22,21,20,7.1,551,562,6912,54240,77695,1728,11615,15021
Cabo Blanco,3,3,2,0,1990,1990,1992,1994,213,212,216,215,40,40,39,39,8,7,8,8,1.5,115,118,2967,9060,17226,989,3250,5651
Turrubares,3,3,4,3,2001,2001,2010,2010,60,119,62,107,13,17,13,12,4,5,7,8,1.0,76,77,6180,16376,18513,2060,5430,6094
Punta Morales,2,2,5,7,2012,2012,2014,2014,222,222,247,263,10,10,13,14,44,44,69,72,2.0,153,156,9960,27617,32397,4980,14984,17433
Flamingo,2,1,3,1,1989,1989,1989,1989,134,134,134,134,14,14,14,14,12,12,11,11,0.8,65,66,5581,31521,68538,2791,16121,31158
Puerto Caldera,2,2,19,25,2014,2014,2011,2011,547,547,472,414,90,90,97,96,20,20,18,19,3.5,270,275,21542,81476,93186,10771,44553,54263
Palmar Norte,1,1,0,0,1982,1982,1982,1982,122,122,122,122,36,36,36,36,4,4,4,4,0.5,39,39,1044,1279,1298,1044,1598,1955
Pital,1,1,0,0,2000,2000,2000,2000,95,95,95,95,21,21,21,21,6,6,6,6,0.3,19,20,296,1674,3640,296,1712,3310
Sixaola/Talamanca,1,1,1,1,2006,2006,2006,2006,52,52,52,52,45,45,45,45,28,28,28,28,0.9,66,68,669,2595,2962,669,2802,3418
