Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Colombia,567,170,10273,6856,2003,2004,2005,2005,504,573,580,548,45,59,57,57,29,51,32,50,2378.0,183486,187009,8627547,30247600,33271701,15216,52474,58829
United States of America,468,170,17028,20299,2003,2008,2006,2007,1703,1920,1804,1839,120,185,162,175,40,95,79,92,3397.4,261092,266105,15760210,49889906,57170845,33676,120492,142683
Panama,167,97,1214,1547,2005,2006,2008,2009,285,434,366,379,32,122,64,66,31,101,79,89,322.4,24763,25239,1349423,4216398,5024848,8080,27952,34133
Nicaragua,151,63,1499,1278,2007,2007,2007,2008,295,315,304,310,23,27,27,29,28,45,36,42,257.0,19822,20203,1200107,4421448,4944396,7948,29505,33970
Ecuador,151,54,3843,2711,2011,2008,2011,2012,881,958,920,912,55,88,75,69,21,39,32,26,706.4,54339,55383,4008690,12411841,14138539,26548,81595,92984
Honduras,146,66,3292,2963,2007,2008,2008,2006,749,708,676,759,50,61,53,62,40,49,43,51,603.9,46719,47616,2797158,10079446,10995085,19159,69473,79396
Guatemala,96,66,2054,1471,2005,2006,2005,2006,738,713,708,761,48,63,70,73,33,48,30,44,421.5,32553,33178,1788082,6032505,6684091,18626,62898,70458
Mexico,87,56,3811,3162,2007,2007,2007,2010,1368,1524,1382,1503,110,143,138,170,39,56,52,73,740.5,57191,58289,2980826,10271620,11732201,34262,127698,148380
Chile,66,29,58,47,2003,2004,2005,2004,235,1570,784,863,34,458,2616,2632,6,78,11,11,60.7,4559,4647,684630,1533992,1987657,10373,24303,33178
Jamaica,64,19,1212,1072,2006,2006,2006,2007,645,753,689,681,44,65,52,50,40,55,40,45,265.3,20485,20878,1089035,4005476,4374446,17016,63643,73204
Belize,44,16,1646,2037,2010,2010,2011,2011,1062,1133,1116,1118,105,108,110,110,65,55,67,67,218.4,16915,17240,1687787,5199436,5746175,38359,123960,144059
Netherlands,43,11,3331,3416,2007,2003,2007,2007,5054,5211,5121,5145,257,364,313,330,33,50,40,41,1068.2,81882,83454,8108836,18389238,20869638,188578,426613,468487
China,27,25,8842,12616,2008,2008,2008,2009,9328,9204,9394,9279,890,895,956,938,136,151,197,189,775.5,59990,61142,4190034,10944969,13938105,155186,637548,789008
El Salvador,22,19,220,320,2002,2007,2009,2010,464,729,516,504,52,80,96,95,82,187,202,168,43.6,3335,3400,300977,765617,935389,13681,42353,51533
Japan,18,16,5904,7761,2010,2009,2010,2010,7861,8299,8563,8547,686,703,780,798,49,109,152,152,478.8,37074,37786,2744433,7271234,8870845,152469,585696,700010
