dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,593,53,2001,2004,1999,1999,1701101280,2185284014,422,416,495,493,495,37765
Refrigerated bulk,15,7,1984,1985,1985,1985,23941753,29908851,820,790,739,721,105,7908
Ro-Ro,563,20,2008,2006,2005,2004,360315773,467026104,294,654,616,608,1126,84565
Container,508,37,2009,2009,2010,2010,3124144922,3856741629,451,577,508,504,839,64285
Cruise,80,16,1997,1998,1996,1996,539669436,68208651,294,357,316,320,252,19172
Bulk carrier,134,46,2001,2000,2002,2001,882777270,1355194875,441,546,528,508,222,16822
Oil tanker,135,15,2007,2008,2008,2008,441837731,675596726,436,444,434,411,200,15251
Vehicle,12,9,2005,2003,2005,2005,437070285,153043037,808,853,856,857,31,2431
Service - other,26,4,2010,2006,2010,2007,43768748,17350357,303,747,662,451,22,1673
Miscellaneous - fishing,51,18,2001,2000,2000,2001,348896178,275192918,4633,5242,6095,6012,280,21025
Chemical tanker,179,34,2008,2012,2011,2011,1525593550,2433889574,563,510,631,626,363,27853
Service - tug,96,11,2009,2002,2009,2007,40242194,25410513,388,665,511,543,72,5393
Ferry-RoPax,6,1,1999,1999,1999,1999,1196980,434588,290,290,414,414,11,798
Offshore,44,2,2013,2014,2013,2013,29913717,36172244,509,798,697,673,60,4491
Ferry-pax only,80,1,2014,2014,2014,2014,57651222,20618319,475,475,626,626,43,3263
Liquefied gas tanker,17,2,2012,2013,2012,2012,43945637,45628485,786,803,676,677,31,2362
Yacht,4,1,1986,1986,1986,1986,5600521,3031885,355,355,799,799,2,120
