int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Saipan,243,61,2002,2004,2004,2004,5805053807,5675642147,884,1303,1560,1337,968,74383
Tinian,25,9,1993,1995,2005,2006,80426393,111155795,569,562,1164,1288,34,2557
Rota,5,2,2001,1991,2007,2007,21824881,31564284,1274,2788,1285,1276,9,677
