dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,9,2,1961,1960,1965,1970,783100,650540,214,327,281,402,4,276
Offshore,1,1,2007,2007,2007,2007,816885,885730,147,147,147,147,1,44
Service - other,1,1,2004,2004,2004,2004,378418,113329,196,196,196,196,0,16
Chemical tanker,5,1,2008,2008,2008,2008,5260252,7682572,227,227,250,250,2,124
