Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Northern Mariana Islands,114,33,349,448,1998,2002,2008,2008,156,310,321,315,15,108,527,529,44,56,36,33,93.2,7076,7212,506149,1519119,2090081,4440,16698,22701
Japan,89,34,2945,2800,2003,2002,2005,2005,1370,1899,1524,1582,92,183,127,139,21,71,28,38,474.0,36495,37196,2284451,8456170,9681626,25668,102204,121771
United States of America,62,13,7515,7156,2000,1992,2000,2001,3380,3683,3684,3486,155,301,197,176,30,58,29,31,1646.5,127220,129663,7732241,25528688,27909525,124714,411529,474361
"Taiwan, Province of China",43,6,819,1108,2004,2004,2003,2003,1527,1549,1542,1542,112,116,113,114,13,15,14,14,155.8,11976,12206,995661,3835467,4404498,23155,97251,118870
Singapore,21,20,2026,3383,2008,2007,2008,2008,2642,2836,2575,2660,231,276,257,257,47,56,44,43,235.6,18229,18579,1620882,4642351,5267530,77185,262683,322959
Marshall Islands,18,8,316,349,2008,2006,2008,2008,1757,2802,1930,1840,150,241,233,194,17,151,126,72,58.7,4482,4568,296063,843495,1105635,16448,63696,82415
Palau,12,3,48,61,1999,1997,2000,2001,882,1098,1028,1044,82,451,185,143,33,57,39,35,14.4,1089,1110,158778,453695,620576,13231,42553,58615
Micronesia (Federated States of),10,6,130,167,2005,2004,2006,2007,1223,3019,2298,2297,124,317,430,390,16,19,46,51,48.3,3679,3750,280891,813370,1033316,28089,93886,119782
Philippines,7,7,402,228,1999,1999,2002,2006,2917,6146,2889,3286,246,413,434,361,156,366,536,415,73.1,5612,5719,570501,1446354,1544090,81500,220557,245261
"Korea, Republic of",6,6,402,568,2011,2011,2010,2011,1644,2156,2131,2210,136,199,269,291,52,48,52,60,46.2,3577,3645,179772,922076,1059598,29962,178551,215351
China,4,3,50,66,2008,2006,2004,2002,2161,2195,2247,2272,171,238,274,293,50,74,81,90,15.9,1224,1247,36133,102739,133504,9033,46391,60647
Papua New Guinea,3,3,22,22,1997,1997,1996,1996,5875,6031,2499,2410,855,918,562,509,14,11,14,14,14.2,1071,1092,68602,171501,214178,22867,68707,84171
Hong Kong,2,2,37,52,2004,2004,2000,1999,2494,2494,2576,2602,215,215,232,236,76,76,75,75,9.5,728,742,24494,68801,98268,12247,60235,78414
Australia,2,2,20,22,2011,2011,2011,2011,2505,2505,2523,2540,179,179,179,179,144,144,146,147,11.1,845,861,16929,49045,54161,8464,46341,60940
Malaysia,1,1,39,69,2010,2010,2010,2010,4593,4593,4593,4593,565,565,565,565,114,114,114,114,8.7,673,686,28340,78674,122275,28340,133516,173046
Sri Lanka,1,1,11,8,1972,1972,1972,1972,5032,5032,5032,5032,596,596,596,596,10,10,10,10,5.9,442,451,55160,113176,121955,55160,122741,138591
New Caledonia,1,1,129,22,1990,1990,1990,1990,2567,2567,2567,2567,161,161,161,161,9,9,9,9,25.4,1967,2005,58107,480957,641389,58107,401305,477096
United Arab Emirates,1,1,1,2,1997,1997,1997,1997,92,92,92,92,8,8,8,8,97,97,97,97,0.8,59,60,708,2584,3816,708,4235,5783
