Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,139,13,2591,3027,2002,2001,2001,2002,153,862,917,894,16,51,86,87,10,10,9,9,661.2,51156,52138,2568139,9331993,10192781,18476,67924,79749
General cargo,101,14,1617,2005,2004,2006,2012,2011,906,1554,1753,1781,71,124,129,123,31,264,911,950,211.4,16187,16498,1008738,3456217,5042939,9988,52712,71715
Chemical tanker,41,19,1479,2422,2010,2010,2010,2010,1292,1507,1667,1673,110,156,384,386,27,36,35,35,220.6,17043,17370,654743,3895016,4571648,15969,110917,137442
Vehicle,27,14,2743,816,2005,2005,2005,2005,1720,1912,1960,1876,112,138,138,137,9,12,16,17,195.9,15166,15457,826592,3644385,4220570,30615,116366,125235
Service - tug,24,6,18,9,1970,1980,1982,1980,340,3533,2357,2333,62,797,1277,1312,30,503,1982,1290,51.8,3887,3961,237947,562673,753389,9914,25601,34566
Service - other,19,12,442,315,1992,1991,1988,1984,3282,3195,3640,3372,395,447,1123,728,91,142,220,237,150.2,11359,11577,2198986,4511837,4861778,115736,257532,290790
Oil tanker,18,15,1525,2717,2007,2007,2006,2006,1936,1789,2098,2132,180,166,280,281,32,48,56,57,150.6,11670,11894,1593898,3489725,3871985,88550,232181,284073
Miscellaneous - fishing,11,9,59,58,2002,2000,2002,2004,3737,6679,6825,5558,361,574,755,777,174,436,1343,1076,56.8,4264,4346,410250,910015,1034595,37295,87773,104050
Bulk carrier,9,4,103,161,1998,2002,1997,1997,1424,1142,1245,1234,121,94,141,141,20,42,33,33,17.9,1380,1407,65891,182918,284290,7321,34492,44704
Liquefied gas tanker,8,2,69,73,2012,2011,2011,2011,2211,2225,2219,2220,186,204,215,215,19,260,156,169,49.7,3783,3856,55016,159391,176019,6877,37652,49513
Cruise,2,2,372,38,1996,1996,2000,1998,2324,2324,2615,2287,132,132,161,150,10,10,13,12,82.2,6352,6474,196345,827785,888533,98172,361361,355519
