Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Burgas,1330,667,6117,9305,1998,2001,2004,2005,204,367,374,371,34,55,92,93,54,105,117,115,2112.3,161811,164918,7775947,21274545,26690815,5847,19389,24083
Varna East,781,550,3221,4991,1998,2000,2003,2004,203,456,486,494,28,78,227,227,71,159,403,425,1110.2,84807,86435,4381491,11494266,14887776,5610,19613,24866
Ignatievo,580,271,1965,2491,1997,1998,2000,2002,221,420,355,353,41,96,126,128,37,141,130,139,759.3,58037,59151,2657834,8736584,9738708,4582,16126,20489
Balchik,256,194,354,511,1990,1991,1994,1994,222,361,356,357,30,55,74,74,41,54,72,70,110.0,8343,8503,972339,2798101,3879302,3798,13629,18157
Akhtopol,61,51,153,244,1994,1995,1996,1996,212,314,307,302,34,56,86,84,27,60,77,78,34.8,2645,2696,300565,793485,1110896,4927,16919,22356
Nessebar,23,21,33,50,1989,1989,1999,2000,232,265,192,176,32,47,81,80,27,33,27,25,8.2,620,632,72776,197998,267916,3164,10432,13990
Nikopol,13,6,8,10,1966,1967,1966,1965,342,364,372,371,65,85,97,97,14,17,25,24,1.8,135,137,33784,96338,138178,2599,8411,12077
Sozopol,3,3,11,12,1999,1999,1995,1991,242,3682,222,179,555,627,364,133,162,110,156,153,10.6,795,810,13595,24790,33010,4532,15772,20349
Gurkovo,1,1,3,3,2013,2013,2013,2013,662,662,662,662,89,89,89,89,381,381,381,381,1.4,110,112,5892,17284,23836,5892,23605,29764
Oryakhovo,1,1,1,1,1967,1967,1967,1967,312,312,312,312,84,84,84,84,141,141,141,141,0.2,12,13,2023,5803,8340,2023,6594,9483
Kuklen,1,1,17,21,2008,2008,2008,2008,1119,1119,1119,1119,81,81,81,81,7,7,7,7,2.9,220,225,19090,74055,84502,19090,79934,97537
