int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,229,102,2008,2009,2010,2010,4493845144,7490518717,498,1357,1212,1224,890,68272
Oil tanker,162,100,2006,2007,2008,2008,7265211072,12815726712,538,1442,1458,1465,1029,78880
Bulk carrier,8,2,2017,2012,2016,2016,8571286,12850067,121,293,213,211,3,202
Cruise,442,63,2005,2005,2008,2008,20330164133,1877437452,199,442,420,419,4082,313299
Service - tug,126,35,1983,1982,1985,1986,28064526,22864618,252,825,487,396,81,6086
General cargo,225,45,1997,2003,2001,2001,1167079257,1446505055,240,1234,626,652,351,26879
Liquefied gas tanker,72,25,2010,2009,2013,2012,1354670290,1542163615,850,1445,1437,1416,291,22192
Container,256,16,2007,2008,2007,2007,1432908203,1773345666,354,384,488,494,324,24748
Ro-Ro,427,8,1995,1993,1993,1994,335405595,349262412,115,223,158,167,209,15920
Service - other,10,7,1990,1989,1987,1988,92016563,45201502,676,1414,2521,2779,30,2228
Ferry-RoPax,2,2,1998,1998,2003,2003,150830642,29800603,1659,1659,3044,3004,39,2987
Ferry-pax only,1,1,1995,1995,1995,1995,3871517,581558,16616,16616,16616,16616,6,460
Offshore,154,8,1976,1982,1978,1978,14827059,22063412,130,272,142,142,47,3518
