dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,75,10,2006,2007,2007,2007,69100600,82773405,65,70,82,82,26,1924
Service - tug,67,13,1982,1984,1980,1982,5264930,3596892,88,607,202,170,31,2316
Ro-Ro,139,4,2002,1997,1999,2002,39533301,42419563,61,62,68,67,37,2780
Oil tanker,7,5,2006,2006,2007,2007,19867305,33561118,121,220,120,116,21,1542
Offshore,39,6,1976,1983,1978,1979,2143404,3062589,59,115,77,74,18,1335
Cruise,8,3,2006,2008,2006,2005,125521364,13193982,111,139,154,149,27,2032
General cargo,38,10,1992,1998,1995,1995,62352391,90833262,69,359,331,378,17,1297
Chemical tanker,5,5,2006,2006,2006,2006,25331447,43255031,193,270,305,305,8,581
Liquefied gas tanker,83,2,2014,2014,2014,2014,43488905,45079511,106,112,146,146,53,3980
Service - other,3,2,1996,1994,1990,1990,922022,326254,94,252,340,342,1,83
