int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,486,78,2004,2002,2010,2010,35857016980,3071064926,172,614,637,622,5668,437950
Ro-Ro,111,10,1991,1990,1992,1992,66310629,70914564,114,152,114,118,62,4720
Chemical tanker,47,7,2009,2008,2008,2008,62508409,96453683,270,227,230,230,35,2680
Oil tanker,33,9,2004,2004,2006,2006,56303977,89107180,117,170,301,306,37,2802
Container,286,42,2008,2007,2011,2011,5414347468,6326981873,930,1064,1534,1441,1330,102555
Service - other,4,3,1997,1996,1998,1998,10820784,4962469,1021,6885,4640,5699,28,2075
General cargo,150,28,1998,1997,2004,2004,237854272,318461198,180,781,280,303,80,6111
Offshore,64,8,1984,1987,1992,1987,8045560,9473414,89,331,147,123,20,1505
Refrigerated bulk,3,3,1996,1996,1993,1993,56624482,60613544,757,1535,1696,1681,20,1508
Bulk carrier,32,5,2008,1990,2011,2011,95276943,142239406,808,678,672,669,24,1852
Liquefied gas tanker,20,1,2007,2007,2007,2007,12754738,13221798,119,119,133,133,10,784
Miscellaneous - fishing,23,2,1956,1968,1964,1962,558508,430795,88,294,118,107,3,227
Service - tug,124,14,2003,1995,2003,2002,6270814,3987171,97,315,182,179,28,2111
Ferry-pax only,3,2,1988,1982,1993,1990,2854162,472076,1143,1361,1467,1435,1,97
Vehicle,12,1,2010,2010,2010,2010,75517807,20526464,367,367,311,311,11,843
Ferry-RoPax,109,2,1970,1972,1970,1970,8093760,2143545,90,76,96,96,25,1876
