int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,261,65,2001,2000,2007,2007,4429237146,430775247,177,230,250,251,985,76170
Oil tanker,37,14,2005,2009,2012,2012,1452818355,2587944815,894,1973,2654,2860,214,16455
Chemical tanker,146,15,2006,2007,2006,2006,319092007,511998993,285,572,328,329,201,15246
Refrigerated bulk,71,18,2000,1999,1999,1999,2610397543,2868983613,3693,3047,2852,2851,950,72774
Container,232,43,2007,2007,2008,2008,2833873123,3479074959,147,412,579,577,602,46454
Offshore,17,5,2012,2002,1999,1988,3369739,3017876,246,523,391,561,15,1100
Vehicle,46,19,2005,2006,2007,2007,2150003652,678804728,118,843,1118,1125,137,10589
Bulk carrier,6,6,2012,2012,2012,2012,48442379,76455729,168,473,531,595,7,524
General cargo,107,44,2004,2005,2003,2004,831331495,1023544363,189,1225,1057,947,181,13858
Liquefied gas tanker,16,3,2010,2007,2011,2011,29639994,30134680,451,378,485,486,21,1577
Service - tug,89,16,1978,1991,1982,1982,7898936,5840874,221,406,293,322,28,2126
Service - other,5,3,2003,2008,1996,1996,19928928,7349942,233,201,415,388,7,552
Ro-Ro,58,3,1992,1998,1998,1996,66297745,46132535,116,485,166,155,32,2420
Ferry-pax only,11,3,2009,2005,2006,2006,6718890,714274,196,1460,903,1092,9,679
Ferry-RoPax,37,2,2006,2006,2005,2005,12570211,1261363,224,183,408,407,30,2227
