port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Umm Al Qaywayn - Hulaylah Oil Terminal,77,57,1996,1998,2001,2001,184813886,297440932,242,559,392,373,80,6089
Jebel Ali Free Zone - Al Hamriyah Lpg Terminal,70,63,2008,2008,2010,2010,172705508,278526486,74,150,177,190,45,3464
Ruwais - Mina Khalifa/Abu Dhabi,540,13,2009,2010,2010,2009,1908398395,2109067203,181,245,217,232,514,39220
Ruwais - Zirku,64,31,2008,2007,2007,2007,370113190,542976252,330,323,410,397,83,6342
Zirku - Mina Khalifa/Abu Dhabi,19,7,2008,2009,2007,2007,71036100,92491694,196,268,299,304,16,1227
Ruwais - Jebel Ali Free Zone,60,16,2009,2009,2009,2009,320672898,477720158,214,364,319,331,87,6621
Mina Khalifa/Abu Dhabi - Jebel Ali,47,35,2004,2004,2005,2004,261195357,307534998,131,160,162,171,48,3704
Mina Khalifa/Abu Dhabi - Jebel Ali Free Zone,54,30,2006,2006,2009,2008,265111138,296111012,66,122,97,98,62,4792
Fujairah - Mina Zayed/Abu Dhabi,131,121,2009,2010,2009,2010,1410493494,2248293159,297,422,353,353,177,13613
Khor Fakkan - Abu Musa,7,7,2001,2001,2000,2000,109669233,190760397,179,397,411,431,14,1093
Sharjah - Hamriya Free Zone Port,17,16,1999,1998,1996,2000,4274717,6195561,116,449,229,252,15,1132
Hamriya Free Zone Port - Khor Fakkan,7,6,2000,1998,1993,1997,41161189,45446007,208,352,365,291,15,1142
Khor Fakkan - Hamriya,23,19,1996,1998,1991,1990,65191968,103636107,267,784,809,887,68,5137
Hamriya - Dubai,2,2,2010,2010,2010,2010,689031,554843,272,272,209,124,2,168
Abu Al Bukhoosh - Free Port,6,6,2003,2003,1999,1999,77553674,147628051,160,442,1734,1882,4,344
Free Port - Mina Khalid,14,13,2005,2004,2006,2006,90195888,162025371,100,192,284,306,113,8616
Mina Khalid - Mina Rashid Port,10,9,1998,1997,1992,1993,8841204,11093016,79,760,539,519,14,1079
Mina Rashid Port - Hamriya,19,17,2008,2008,2008,2007,7394691,5835528,126,675,266,219,33,2501
Hamriya - Free Port,13,13,2005,2005,1997,1997,29332311,35985754,344,605,1082,1139,32,2405
Free Port - Khor Fakkan,62,55,2003,2003,2006,2005,1116549150,1622630941,233,448,421,406,755,58135
Free Port - Rak Maritime City,8,7,2005,2005,2003,2003,2493063,2422649,254,278,306,312,8,572
Rak Maritime City - Mina Rashid Port,6,6,2006,2006,2008,2008,280359,201607,100,112,113,110,3,188
Free Port - Jebel Ali,44,28,2007,2007,2007,2008,89256383,128102568,173,247,176,181,104,7965
