Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Toamasina,109,12,269,384,2000,2001,2008,2008,196,890,1123,1134,14,952,266,274,53,72,935,935,132.3,10028,10220,1179429,2139841,2480193,10820,30844,40673
Maroantsetra,78,5,16,17,1996,1987,1993,1995,190,250,261,243,13,25,29,29,39,42,85,86,45.0,3383,3448,424051,961317,1131050,5437,12863,17044
Majunga,59,23,248,346,2006,2002,2006,2007,373,503,452,458,39,107,89,84,49,61,75,78,104.3,7896,8048,374813,941588,1143569,6353,23520,29934
Toliara,47,8,112,158,2008,1997,2010,2010,351,462,469,476,39,54,55,55,46,53,62,62,48.9,3727,3799,275493,676557,903250,5862,22480,28817
Nosy-Be,46,16,239,74,2001,1999,2002,2006,198,285,252,261,19,26,27,36,28,121,24,73,85.9,6577,6703,200474,721871,790241,4358,16167,18341
Diego Suarez,39,15,253,134,2003,2000,2001,2006,366,547,348,419,37,308,93,175,56,139,47,108,90.0,6866,6997,262584,743339,825676,6733,23008,26823
Ehola,28,7,68,99,2008,2007,2008,2007,339,448,440,440,37,51,67,67,42,154,80,75,33.1,2517,2566,151902,382816,501953,5425,20875,26712
Morondava,4,2,5,4,1972,1985,1988,2004,325,380,387,479,30,48,55,71,16,28,30,42,2.8,209,213,8440,31427,50608,2110,8468,12851
Manakara,1,1,4,6,1997,1997,1997,1997,205,205,205,205,19,19,19,19,16,16,16,16,0.4,27,28,2593,7198,11186,2593,12215,15831
Antalaha,1,1,0,0,2010,2010,2010,2010,266,266,266,266,57,57,57,57,80,80,80,80,0.3,25,25,1040,2459,3292,1040,2685,3625
