Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-pax only,105,1,13,13,1997,1997,1997,1997,185,185,477,477,11,11,17,17,38,38,214,214,22.4,1681,1713,1030793,2099307,2644478,9817,22829,30096
Oil tanker,82,2,308,442,2015,2014,2014,2014,465,459,781,779,58,58,80,80,79,79,840,837,181.2,13692,13955,781819,837603,788908,9534,32479,43171
General cargo,71,6,163,228,2007,2002,2006,2006,338,433,420,419,32,76,144,134,43,180,92,86,56.6,4333,4416,375600,1105639,1530963,5290,21170,26934
Ro-Ro,54,1,6,9,1995,1995,1995,1995,196,196,248,248,23,23,59,59,78,78,101,101,59.7,4482,4568,32913,253750,119742,610,1487,2120
Cruise,41,7,385,45,1986,1990,1999,1997,207,222,278,275,19,20,29,29,8,9,8,8,96.8,7478,7622,239285,977980,1124264,5836,21274,22691
Container,29,9,152,199,2002,2001,2000,2000,360,320,356,353,30,33,36,36,35,45,39,40,40.4,3085,3144,183535,699500,792499,6329,25750,31207
Chemical tanker,15,3,48,66,2009,2009,2009,2009,523,573,576,583,65,73,88,88,66,61,111,106,31.8,2401,2447,98963,300969,378285,6598,22250,28179
Bulk carrier,10,8,129,211,2005,2007,2006,2005,664,641,616,619,66,150,360,374,52,81,75,73,18.4,1410,1437,88782,223645,329799,8878,37478,47354
Refrigerated bulk,2,1,9,10,1986,1986,1986,1986,902,902,902,902,912,912,1166,1166,90,90,76,76,26.9,2018,2057,29903,65339,73599,14951,31861,34401
Service - tug,2,1,1,1,2010,2010,2010,2010,2142,2142,2142,2142,4097,4097,7635,7635,48,48,20,20,8.5,642,654,16727,39553,52960,8363,21595,29158
Service - other,1,1,1,0,1973,1973,1973,1973,552,552,552,552,94,94,94,94,70,70,70,70,0.5,34,35,2498,5126,5523,2498,5559,6277
