dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,35,20,2003,2007,2005,2005,322925295,358213715,214,176,191,189,52,4031
Service - other,11,6,1998,1998,2003,2003,204109331,242104520,3863,8435,6077,6697,92,6887
Oil tanker,19,11,2003,2000,2006,2006,410216100,721100311,531,686,659,659,47,3654
Bulk carrier,13,13,2010,2010,2009,2009,135144626,234912111,264,341,340,341,16,1239
Ro-Ro,3,3,1986,1986,1976,1976,20808576,14402671,773,2168,1539,1320,14,1061
Liquefied gas tanker,2,1,1989,1989,1989,1989,4770774,5652604,741,741,741,741,2,189
Chemical tanker,9,6,2008,2007,2007,2007,73636971,117170734,525,886,724,712,17,1304
Service - tug,4,3,2007,2006,2009,2009,5716725,3708121,1137,2343,2468,2488,15,1156
Offshore,1,1,1982,1982,1982,1982,105091,102688,55,55,55,55,0,13
General cargo,4,4,2012,2012,2012,2012,27114419,35730228,220,309,313,312,5,386
