int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Kiamari,1193,717,2006,2007,2005,2005,62091763163,94401174007,763,1545,1504,1558,7147,551519
Karachi,662,383,2006,2007,2008,2008,40559607121,47858145056,703,1352,1317,1335,4220,325587
Port Qasim,1159,696,2008,2009,2009,2009,74800432098,95071359535,828,1524,1307,1329,8335,614783
Muhamamad Bin Qasim,41,41,2011,2011,2013,2013,1659285379,2884273311,861,1177,1197,1207,147,11408
Pasni,3,3,2002,2002,2006,2006,124411095,198083942,2917,4782,2836,2744,28,2160
Jiwani,31,23,2002,2002,2002,2001,920347417,1385304804,651,1495,2415,2416,130,10005
Gwadar,25,13,2002,2005,2002,2003,307100176,387321691,624,704,661,641,59,4487
Ormara,6,6,1986,1986,1981,1980,11333300,15782538,614,633,471,456,44,3295
