dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,200,21,1986,1985,1986,1983,670074620,112888713,210,239,270,268,279,21414
General cargo,327,5,2007,2004,2013,2011,232504152,177881509,210,201,325,328,81,6162
Container,380,4,1996,1997,1996,1996,927740139,620602964,213,214,250,248,283,21777
Miscellaneous - fishing,209,28,1987,1993,1997,1997,593890181,252107045,892,1798,2191,2044,299,22416
Refrigerated bulk,4,1,1983,1983,1983,1983,25836746,30008407,3219,3219,4919,4919,46,3421
Service - other,155,9,1979,1984,1986,1978,44160166,27788732,191,426,243,268,105,7905
Oil tanker,1,1,2006,2006,2006,2006,6582751,10056622,248,248,248,248,4,315
Chemical tanker,182,2,2007,2007,2007,2007,197674651,226007652,269,261,347,340,149,11289
Ferry-pax only,194,2,1990,1978,1992,1991,122652332,9749447,180,365,315,320,95,7105
Ferry-RoPax,52,1,2007,2007,2007,2007,145372795,12281861,186,186,240,240,48,3681
Service - tug,38,2,1971,1969,1970,1970,2062717,1064163,150,204,196,199,11,800
Offshore,5,1,1965,1965,1965,1965,119195,647605,69,69,127,127,3,261
Yacht,13,1,1974,1974,1974,1974,893211,1311135,162,162,315,315,4,298
