port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Uummannaq Harbor - Qasigiannguit-Christianshab,5,3,2007,2007,2007,2007,10561698,2683044,252,255,256,259,4,304
Qasigiannguit-Christianshab - Nuuk,3,3,1993,1993,2006,2007,2691025,3151580,386,387,416,421,2,148
Nanortalik Havn - Tasiilaq,10,4,2001,1994,1996,2001,54372400,22902946,465,518,482,474,16,1252
Qeqertarsuaq - Qasigiannguit-Christianshab,4,2,1999,1990,2007,2003,2314999,223291,68,79,66,68,1,64
Uummannaq Harbor - Pituffik (Thule Air Base),2,1,2007,2007,2007,2007,15315780,1293958,657,657,657,657,5,374
Pituffik (Thule Air Base) - Illulissat (Jakobshavn),3,2,2002,1999,2004,2002,29716583,2844696,1010,868,936,905,9,698
Kangerlusuaq - Maniitsoq,1,1,2007,2007,2007,2007,1756084,148363,151,151,151,151,1,42
Maniitsoq - Qeqertarsuaq,2,2,1998,1998,1999,2004,2560556,1561779,406,406,375,485,2,134
Gronnedal (Kangilinnguit) - Nanortalik Havn,9,5,1996,1992,1995,1999,8464985,4133782,211,210,280,288,4,339
Aasiaat - Toqqusaq,3,1,2006,2006,2006,2006,4930324,4729889,401,401,624,624,2,165
Toqqusaq - Gronnedal (Kangilinnguit),1,1,2006,2006,2006,2006,767264,736072,292,292,292,292,0,26
Nanortalik Havn - Qasigiannguit-Christianshab,1,1,2006,2006,2006,2006,2021556,1939372,768,768,768,768,1,70
Qasigiannguit-Christianshab - Sisimiut,1,1,2006,2006,2006,2006,1442234,1383602,548,548,548,548,1,58
Toqqusaq - Paamuit (Frederikshab),1,1,2006,2006,2006,2006,613911,588954,233,233,233,233,0,19
Tasiilaq - Kangerlusuaq,1,1,2006,2006,2006,2006,2962115,2841695,1125,1125,1125,1125,2,127
Nuuk - Kuummiut,2,1,2006,2006,2006,2006,7246526,6951930,1377,1377,1377,1377,3,207
Kuummiut - Nanortalik Havn,1,1,2006,2006,2006,2006,1374648,1318764,522,522,522,522,1,56
Kuummiut - Nalunaq Gold Mine,1,1,2006,2006,2006,2006,1499178,1438231,570,570,570,570,1,45
Gronnedal (Kangilinnguit) - Qeqertarsuaq,1,1,2006,2006,2006,2006,1782636,1710166,677,677,677,677,1,53
Nuuk - Nalunaq Gold Mine,1,1,1989,1989,1989,1989,422268,221102,906,906,906,906,1,55
Sisimiut - Nalunaq Gold Mine,1,1,1985,1985,1985,1985,1095289,600130,1233,1233,1233,1233,1,72
Kangerlusuaq - Uummannaq Harbor,2,1,1991,1991,1991,1991,8135191,1133821,482,482,482,482,2,181
Illulissat (Jakobshavn) - Gronnedal (Kangilinnguit),1,1,1991,1991,1991,1991,4669211,650759,553,553,553,553,1,104
Paamuit (Frederikshab) - Nalunaq Gold Mine,1,1,1967,1967,1967,1967,59577,41120,254,254,254,254,0,9
Qasigiannguit-Christianshab - Illulissat (Jakobshavn),1,1,1974,1974,1974,1974,250403,367563,1149,1149,1149,1149,1,82
