int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Uummannaq Harbor,8,4,1996,1995,1992,1992,82943540,10725044,620,600,854,868,42,3221
Sisimiut,18,17,1996,1996,1998,1999,200178015,97264822,1348,2476,1759,2053,72,5488
Nuuk,110,54,1994,1991,1996,1999,1991284736,1455017440,2193,2467,2015,2281,648,49409
Tasiilaq,13,12,1991,1989,2002,2008,101554025,41585000,852,1258,998,1201,35,2642
Kangerlusuaq,5,5,1997,1997,2005,2005,303986974,162973928,6802,5353,5103,3527,104,7870
Illulissat (Jakobshavn),13,11,1996,1996,1998,1996,190308727,25358265,754,865,1081,837,53,4033
Nanortalik Havn,14,14,1998,1998,2001,2003,438975828,102581803,1475,1860,1216,1503,108,8254
Narsarssuaq,9,8,1997,1995,1995,2003,138312190,70116547,1882,1576,1520,1698,46,3498
Pituffik (Thule Air Base),5,4,2006,2004,2008,2007,230362589,274524864,3214,2634,2964,2878,47,3628
Nalunaq Gold Mine,4,4,1984,1984,1982,1978,6518736,2685716,1019,2097,1092,1590,9,647
Aasiaat,4,4,1974,1974,1990,1980,7060009,5621310,648,902,873,986,6,480
Paamuit (Frederikshab),6,6,1995,1995,1989,1989,450064840,130114547,905,2098,4587,5194,45,3428
Qeqertarsuaq,3,3,1989,1989,1987,1988,39174526,8363973,1092,937,1171,961,12,918
Kuummiut,1,1,2012,2012,2012,2012,7326913,5458341,1819,1819,1819,1819,2,127
Seqi Olivine Mine,1,1,2015,2015,2015,2015,173142,176919,630,630,630,630,0,18
Toqqusaq,1,1,2001,2001,2001,2001,1846962,650797,651,651,651,651,1,69
Qasigiannguit-Christianshab,1,1,1992,1992,1992,1992,2394381,1095023,374,374,374,374,1,89
