int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,49,31,1990,1989,1994,1991,1362046963,183255788,1000,1121,1263,1281,417,31926
Miscellaneous - fishing,52,36,1994,1993,2000,2001,387800946,185798690,2068,3010,3412,3495,166,12433
General cargo,18,9,2010,2004,2013,2013,368825700,324006915,1944,1432,2170,2171,92,7065
Bulk carrier,1,1,1982,1982,1982,1982,9710918,20809939,2904,2904,2904,2904,3,235
Container,44,4,1997,1997,1997,1996,1045471090,779357659,2211,1902,2128,2134,336,25683
Refrigerated bulk,2,1,1983,1983,1983,1983,6016590,6988043,2291,2291,2291,2291,6,426
Service - other,24,13,1990,1987,1986,1986,103397935,46616026,264,1951,1069,1056,67,5048
Vehicle,1,1,1988,1988,1988,1988,401899515,120843487,9468,9468,9468,9468,26,1972
Oil tanker,5,2,2006,2006,2006,2006,354973209,542281448,2695,2503,2674,2674,57,4381
Chemical tanker,9,3,2007,2006,2005,2005,106621944,155521071,1105,1515,1976,2073,29,2199
Ferry-RoPax,3,1,2007,2007,2007,2007,16198307,1368518,578,578,464,464,5,356
Ferry-pax only,2,2,1978,1978,1990,1985,1573594,153497,676,676,693,685,5,390
Service - tug,4,4,1983,1983,1980,1980,27102099,24387397,562,4429,11139,11837,16,1232
Offshore,1,1,1965,1965,1965,1965,431608,2344994,2308,2308,2308,2308,4,331
Yacht,1,1,1974,1974,1974,1974,395715,580866,1815,1815,1815,1815,2,141
