int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,101,95,2010,2010,2010,2010,9291145925,16888640307,1527,2107,2678,2765,682,52776
General cargo,58,32,2000,2005,1998,1998,2087320517,2735803304,640,2457,2858,2513,327,25155
Vehicle,5,2,2005,2003,2006,2005,221411035,60313071,838,870,933,925,15,1124
Miscellaneous - fishing,52,20,1989,1988,1986,1985,222083816,109812206,1233,2516,2626,2629,113,8518
Chemical tanker,49,24,2006,2009,2011,2011,891559925,1452171991,498,1278,1145,1159,171,13209
Refrigerated bulk,42,7,1986,1987,1986,1985,71436790,76149566,937,897,909,908,126,9460
Service - tug,9,8,1993,1994,2004,2004,6077316,4439024,709,1309,1645,1710,17,1247
Container,125,29,2004,2005,2004,2004,1025501551,1329555706,150,341,386,388,218,16857
Ro-Ro,27,11,2012,2009,2014,2014,3092789069,1369884044,1850,1427,1673,1667,221,17148
Liquefied gas tanker,6,4,2010,2008,2011,2011,41708020,49728620,919,1134,1065,1053,13,1033
Cruise,1,1,1994,1994,1994,1994,12902159,1186022,758,758,758,758,5,370
Oil tanker,13,4,1997,1999,2000,2000,55423806,84694569,1401,662,618,589,58,4391
Service - other,1,1,2011,2011,2011,2011,3477,3021,23,23,23,23,0,15
