int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,101,95,2010,2010,2011,2011,12155430888,22247608909,2100,2615,3503,3643,897,69429
General cargo,58,32,2000,2005,2002,2002,1014091234,1373883060,610,2026,1388,1262,221,16868
Miscellaneous - fishing,52,20,1989,1988,1985,1984,318569095,194375279,1364,6327,3766,4653,165,12379
Vehicle,5,2,2005,2003,2005,2005,602960326,167135910,3145,3122,2541,2564,40,3104
Refrigerated bulk,42,7,1986,1987,1987,1986,70160283,71037077,1004,1614,893,847,141,10600
Service - tug,9,8,1993,1994,1992,1991,5887106,4133679,1074,1743,1594,1593,23,1743
Container,125,29,2004,2005,2005,2004,2571409258,3348596863,425,969,967,976,424,32733
Chemical tanker,49,24,2006,2009,2009,2009,901120583,1450698173,1198,1184,1157,1158,183,14084
Ro-Ro,27,11,2012,2009,2011,2011,1651097237,740872039,760,1163,893,902,135,10425
Liquefied gas tanker,6,4,2010,2008,2010,2010,36955393,44233351,769,912,944,937,14,1050
Cruise,1,1,1994,1994,1994,1994,8868678,815247,521,521,521,521,3,261
Oil tanker,13,4,1997,1999,2005,2005,149595737,246104986,488,1492,1668,1712,26,2025
Service - other,1,1,2011,2011,2011,2011,151077,131270,1014,1014,1014,1014,3,226
