int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oropesa Del Mar,41,37,2002,2002,2003,2003,828013059,1381447588,684,921,1399,1576,109,8440
Burriana,13,11,1989,1990,2004,2004,24917198,32952786,509,629,880,937,29,2218
San Feliu De Guixols,7,7,1993,1993,1995,2000,64742445,49996029,1002,1116,898,1366,20,1505
Peniscola,5,5,2001,2001,2003,2003,16026210,23018216,474,495,489,486,3,237
Gijon,7,7,2007,2007,2006,2005,138597912,176839726,739,1119,1286,1413,26,2016
Playa Den Bossa,2,2,2011,2011,2011,2010,1799141,1903519,533,533,500,465,2,120
Portals Nous,3,3,2007,2007,2008,2008,10143607,15648617,791,1292,323,303,3,246
Santona,7,7,2005,2005,2009,2006,69386415,49709591,332,592,602,398,7,546
Porto Do Son,6,5,1995,1996,2004,2006,10752998,11963283,684,825,917,935,8,606
Portosin,3,3,1988,1988,1999,1999,817759,467241,1430,961,1000,1046,7,512
Mahon,24,14,1997,1998,1996,1994,326167985,38953612,290,336,301,299,88,6808
Mundaca,3,3,2005,2005,2007,2008,11875442,18921588,3653,5912,3739,3707,11,848
Sanlucar De La Barra,17,12,2002,2002,2002,2002,97512379,139902991,749,1526,991,1061,22,1728
Villacarlos,16,14,1994,1995,2004,2007,324619214,413848102,742,1290,934,1615,61,4649
Ondarroa,33,13,2003,2002,2005,2005,59592488,30674818,2059,4328,6318,5952,61,4578
San Vicente,1,1,2011,2011,2011,2011,6718677,9360604,1008,1008,1008,1008,1,47
Lizartza,16,12,2003,2005,2001,2004,102785045,59166252,807,817,769,807,20,1492
Denia,10,9,1996,1996,1991,1991,120175567,126613132,627,1419,1693,2197,65,4897
Castropol,2,2,2012,2012,2012,2012,11139912,17698188,935,935,379,368,2,168
Mugia,28,26,2002,2002,1999,1998,333095593,437606323,864,2346,1067,1534,68,5199
Playa De Santiago,5,3,2004,2007,2010,2010,33045405,45504524,1132,2434,3595,4023,11,843
Gran Tarajal,14,13,2001,2000,2004,2005,526267738,616935440,1290,1580,1975,2111,62,4813
Cabo De Palos,26,23,2000,2000,2011,2013,625690838,977982568,845,1401,1520,1640,82,6335
El Rompido,10,10,2005,2005,2010,2010,66331076,82546425,562,949,417,424,16,1240
Cabuenes,2,2,2003,2003,2008,2008,101216002,106264567,501,501,767,767,8,643
Sant Lluis,15,15,2001,2001,2000,2002,759238576,731234046,1268,1673,2593,2301,85,6574
Puebla Del Caraminal,5,5,2002,2002,1998,1998,50629565,59237269,1276,2015,1523,1937,36,2744
Begur,5,5,2001,2001,2006,2006,32240007,23534354,731,675,438,593,4,300
Alcanar,20,17,2004,2003,2008,2008,318290508,508496155,1028,1217,1197,1198,43,3315
Sitges,2,2,1995,1995,1995,1995,3289448,4919959,596,596,604,603,1,69
Ciutadella De Menorc,28,21,1998,1999,2002,2004,580476536,289417760,1056,1196,587,741,126,9670
Pobra Do Caraminal,13,13,1994,1994,1993,1993,134781672,150245621,1728,2151,2311,2353,148,11175
Guetaria,36,6,1998,1993,1995,1996,9557876,8394536,257,941,1024,990,29,2182
Porreras,2,2,1990,1990,1996,1999,5211577,6739703,1088,1088,1107,1206,2,123
Celeiro,1,1,2007,2007,2007,2007,5586157,8056874,1082,1082,1082,1082,1,78
Ortigueira,5,5,2002,2002,2015,2015,152859078,281996832,1350,1506,2846,2965,14,1052
Portbou,4,3,2008,2008,2009,2009,95092920,88462169,2390,1964,1681,2267,35,2678
Moana,3,3,2002,2002,2003,2003,6709545,5387845,2170,2791,623,456,11,832
Munguia,1,1,2008,2008,2008,2008,20199663,31839917,795,795,795,795,2,144
Valderobres,1,1,1999,1999,1999,1999,319292,121296,1901,1901,1901,1901,3,202
Santo Angel,1,1,1997,1997,1997,1997,17388,22793,276,276,276,276,0,11
Tarajal,3,3,2002,2002,2013,2013,427259182,820517936,317,987,2509,2563,28,2140
Corme,11,9,2000,2001,2005,2006,273952125,447746414,1153,2306,3530,3893,39,3025
Camarinas,7,7,2003,2003,2003,2004,33198010,35258233,1094,1539,2953,2935,13,1022
Cala Ratjada,12,12,2001,2001,2005,2005,255167479,272370890,876,1403,1267,1493,60,4590
Tossa De Mar,7,7,2004,2004,2002,2003,138253140,92379355,363,608,647,533,13,1011
L'Estartit,4,4,1995,1995,1996,1997,7219685,10574119,577,627,611,607,2,180
Roses,2,2,1988,1988,1989,1989,5257286,569964,357,357,272,268,2,127
Outes,2,1,2000,2000,2000,2000,4689166,2362481,5966,5966,5966,5966,7,514
Corralejo,1,1,1995,1995,1995,1995,2454957,1815797,14526,14526,14526,14526,7,538
Elvillar,2,2,2003,2003,2013,2015,43279409,67485021,1853,1853,1379,1336,5,396
San Vicente Barquera,5,4,2005,2006,2014,2014,202240625,176717985,736,764,754,752,19,1438
Pasito Blanco,4,4,1997,1997,2010,2010,254352167,474522820,676,1180,2876,2916,17,1330
Lejona,21,14,2007,2006,2007,2007,108587270,153778920,1256,1153,1338,1345,37,2814
Agaete,5,5,2003,2003,1995,1995,110770494,184447231,319,1011,2031,2413,13,1031
Orio,2,2,2006,2006,2009,2009,6805615,9670992,732,732,1244,1269,1,90
Petra,1,1,1977,1977,1977,1977,1732263,1461002,595,595,595,595,0,34
Cambrils,1,1,1987,1987,1987,1987,4304924,2408209,607,607,607,607,1,70
San Carlos,4,4,1997,1997,2001,2003,15095922,21622096,757,2298,691,641,11,824
Laredo,1,1,2009,2009,2009,2009,2490462,3429733,436,436,436,436,1,48
San Fernando,4,4,2004,2004,2004,2004,25787082,36257892,1223,1455,1308,1378,10,742
Arenys De Mar,4,4,2006,2006,2006,2006,6260991,8416146,248,266,276,274,3,202
Benicarlo,1,1,2007,2007,2007,2007,2545881,3515192,256,256,256,256,1,51
Oroso,2,2,2006,2006,2002,2002,12145947,3699612,639,639,773,778,4,298
San Agustin,3,3,2008,2008,2009,2010,117625375,175114174,1409,1402,1409,1455,12,964
El Chorrillo,1,1,1987,1987,1987,1987,29725350,13720809,3683,3683,3683,3683,9,657
Pola De Siero,1,1,2012,2012,2012,2012,5712804,8720628,1586,1586,1586,1586,1,87
Maliano,1,1,1979,1979,1979,1979,104571,79374,420,420,420,420,0,29
San Feliu De Buxalleu,1,1,2015,2015,2015,2015,30521850,49436033,1265,1265,1265,1265,3,202
El Goro,1,1,2008,2008,2008,2008,136580689,215013666,4613,4613,4613,4613,21,1599
Escorca,1,1,1958,1958,1958,1958,69758,52178,628,628,628,628,0,14
Puerto Calero,2,2,1986,1986,1993,1993,321440583,320282591,4684,4684,8973,8943,49,3761
Tijarafe,1,1,2000,2000,2000,2000,108346,60376,394,394,394,394,0,18
Playa San Juan,1,1,2000,2000,2000,2000,205237,114369,746,746,746,746,1,56
