dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,4682,1338,2003,2003,2004,2005,10528053389,13966294578,272,410,482,465,2687,205304
Ferry-RoPax,11577,79,2001,1998,2002,2003,65454242079,15866970660,138,957,271,250,19282,1458384
Container,6294,558,2005,2006,2007,2007,56094122065,65955016919,217,337,357,360,10093,778046
Miscellaneous - fishing,1753,169,1999,1997,1997,1995,822813195,550483924,441,2511,1264,1454,1442,108347
Bulk carrier,1192,547,2003,2009,2010,2010,18771306049,33604527439,353,646,662,671,1863,143958
Cruise,2398,150,1999,2000,2006,2005,33955164275,3295441098,152,217,208,212,8196,634205
Ro-Ro,1493,52,2001,2000,2006,2005,9077791773,4471300514,188,379,354,375,2385,184265
Oil tanker,1404,257,2007,2009,2009,2009,18031451299,32377295457,200,604,610,625,4076,313045
Chemical tanker,3517,694,2007,2008,2008,2008,20258371031,31833457208,379,553,550,553,5863,450217
Service - tug,935,135,2000,2001,2004,2004,322208231,230596354,257,1018,626,626,952,71513
Vehicle,621,105,2003,2005,2003,2003,8985020070,2846269786,283,400,498,498,1357,104858
Service - other,686,75,1999,1994,2001,1997,736303698,516219972,312,972,809,689,649,48789
Liquefied gas tanker,840,137,2008,2008,2006,2006,10008643100,8408710128,332,676,841,778,1881,132802
Ferry-pax only,267,20,2003,2000,2004,1998,209508223,32043452,1066,1167,2217,2121,287,21539
Refrigerated bulk,124,60,1995,1995,1993,1993,468662725,519605755,427,772,706,704,505,38117
Offshore,153,36,1997,2004,2007,2006,399368017,346019179,218,313,402,415,280,21023
Yacht,11,1,2010,2010,2010,2010,6276556,759261,1022,1022,1150,1150,10,738
