int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,187,122,2007,2006,2007,2008,6868815130,7003082494,1457,2462,2537,2638,1217,90186
Miscellaneous - fishing,935,403,1994,1993,1990,1990,4413899489,2936720813,1488,5207,5586,5559,3432,258654
Service - tug,307,228,2002,2002,2007,2006,841070427,702787898,962,1731,2240,2250,832,62782
Container,7750,1031,2006,2007,2010,2010,636357662205,715845619603,709,1520,1874,1840,73451,5678582
Bulk carrier,4211,2432,2008,2010,2011,2011,389684203261,699210119720,1919,2810,2982,3034,31838,2461619
Chemical tanker,4581,1390,2007,2009,2010,2010,115349367941,186543892070,1016,1971,1904,1936,21397,1646413
Oil tanker,1742,825,2009,2009,2010,2010,220723788648,410086825096,1606,2502,2685,2719,22621,1748244
General cargo,9510,2172,2003,2003,2004,2005,81639334432,108804835921,886,1396,1550,1512,16792,1284476
Vehicle,1948,366,2004,2007,2007,2006,114683475262,37703990805,724,2154,1483,1500,8297,640458
Refrigerated bulk,363,138,1993,1994,1995,1994,6339763174,6988126783,2052,2673,2533,2485,3121,237388
Service - other,286,180,2000,1999,2004,2006,3850943596,3930340728,1330,2175,2428,2033,1305,99235
Cruise,1715,171,2003,1999,2008,2006,71719704052,6646172316,342,657,502,504,14394,1112984
Liquefied gas tanker,1094,354,2008,2009,2009,2009,128123550092,106899437177,1003,2526,3208,3089,16236,1034338
Ro-Ro,1589,100,2002,2003,2007,2007,26723958251,14222783836,443,1253,741,786,4361,336152
Ferry-RoPax,1563,112,1997,1998,2001,2001,24110564919,3810940293,359,807,492,496,6353,487925
Ferry-pax only,25,22,1988,1992,1994,1988,32621291,3574413,628,2295,2941,1806,47,3520
Other liquids tankers,4,3,2011,2010,2013,2014,439227645,608340600,4030,4026,4138,4211,49,3796
Yacht,5,2,1990,1960,2002,1968,1208343,233524,496,471,528,413,1,99
