int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,1744,825,2009,2009,2010,2010,200517983551,370991854030,1329,2387,2434,2455,18582,1434124
Miscellaneous - fishing,943,410,1994,1993,1992,1992,3000296812,2027015542,1513,4161,3724,3772,2369,178236
Bulk carrier,4211,2432,2008,2010,2010,2010,301372060432,536081990673,1731,2198,2306,2326,25921,1999999
General cargo,9510,2172,2003,2003,2004,2005,84128062497,111009749092,942,1495,1597,1543,18204,1391300
Chemical tanker,4581,1390,2007,2009,2009,2009,94512583229,152281468172,953,1562,1560,1580,19189,1474133
Service - other,287,181,2000,1999,2008,2008,4494611021,4363533474,1416,2915,2800,2241,1291,97803
Container,7750,1031,2006,2007,2010,2009,594237758220,671194654682,749,1514,1750,1726,70026,5409355
Service - tug,317,238,2003,2003,2006,2005,753066926,638224648,1280,2105,1986,2021,947,71449
Cruise,1716,171,2003,1999,2007,2005,70211306798,6529633724,358,589,491,495,14062,1087856
Refrigerated bulk,363,138,1993,1994,1993,1993,4857274258,5446002367,1355,1985,1941,1937,2899,219865
Ro-Ro,1589,100,2002,2003,2006,2005,23632290194,11850618144,447,1028,656,655,4039,311277
Liquefied gas tanker,1094,354,2008,2009,2008,2008,124513547287,102696055615,1115,2268,3118,2968,14534,943147
Vehicle,1948,366,2004,2007,2007,2006,104713225663,34888031228,770,1798,1354,1388,7843,604865
Ferry-RoPax,1563,112,1997,1998,2000,1999,26252350677,4408798298,367,3203,536,574,7369,561760
Offshore,190,125,2007,2006,2007,2007,5447387089,5160350462,1293,2063,2004,1939,1247,92469
Ferry-pax only,29,23,1992,1993,1999,1985,59275416,8776258,2129,6046,4812,4123,58,4374
Other liquids tankers,4,3,2011,2010,2009,2009,199793855,264749974,1433,2188,1882,1833,27,2042
Yacht,5,2,1990,1960,1993,1946,2606056,739490,1019,1213,1140,1309,3,228
