int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
San Antonio,91,25,1997,1998,1997,1997,255719190,402016079,355,594,541,531,157,12081
Barrio Caacupe Mi,185,24,1992,1994,1991,1989,208007103,213084592,356,420,503,489,116,8723
Villeta,45,18,1993,1992,1991,1992,75493190,105043348,377,399,318,280,61,4610
Puerto Sara,47,15,1997,1993,1983,1982,43054607,43521152,654,579,586,579,34,2523
Colonia Mariano Roque Alonso,7,6,2007,2006,2005,2006,5336300,6108582,219,245,253,252,4,308
Asuncion,26,12,2002,1999,2001,1993,14577444,17252928,313,510,478,522,20,1495
Concepcion,3,2,1986,1994,1991,2000,712857,714095,443,432,431,435,1,58
Puerto Guarani,4,2,1994,1994,2000,2007,616397,718395,276,256,260,267,1,51
Calera Cue,1,1,2016,2016,2016,2016,258861,379228,363,363,363,363,0,18
