int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,173,11,1985,1986,1985,1984,226274706,254031545,357,436,527,529,86,6474
Container,19,2,1985,1995,1996,1997,59389569,66318289,281,311,570,595,21,1620
Ro-Ro,38,3,2001,1996,2000,1999,53357027,37747234,885,764,708,687,49,3646
Oil tanker,22,3,1988,1989,1997,1998,206330675,367165595,723,432,403,398,127,9788
Service - tug,133,13,2009,2010,2011,2011,38897093,37400459,299,363,399,419,65,4866
Offshore,2,1,1968,1968,1968,1968,268901,597558,299,299,299,299,23,1730
Service - other,4,1,2000,2000,2000,2000,218022,52401,411,411,371,371,3,202
Chemical tanker,18,1,1992,1992,1992,1992,19039958,25525317,606,606,564,564,20,1542
