Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Spain,204,162,11763,19026,2006,2007,2008,2009,1976,1935,1922,1927,142,164,183,187,64,149,145,159,1370.4,106000,108035,7887130,24280107,27738908,38662,148168,177421
Senegal,141,92,2225,1860,2005,2005,2006,2006,492,589,500,506,41,78,49,55,30,89,50,78,276.3,21337,21747,1472631,4236068,4996448,10444,33841,39054
Malaysia,113,68,96786,189056,2009,2009,2009,2009,8918,8972,8967,8966,732,758,752,752,148,175,167,167,4412.0,341768,348330,37234740,82131218,93201901,329511,966755,1143569
Morocco,79,60,4168,6531,2007,2008,2008,2009,1920,1846,1858,1835,155,183,172,174,48,120,116,131,555.1,42941,43766,3288615,10699667,12138865,41628,158265,189501
Togo,61,34,1296,1792,2006,2007,2006,2007,1178,1264,1213,1224,119,144,145,156,35,133,135,160,192.5,14812,15096,1388033,3904432,4595942,22755,74790,87175
Gibraltar,56,54,4121,7480,2011,2010,2011,2011,1990,2022,2011,2009,158,160,158,158,111,175,174,173,359.6,27845,28379,2057524,5487028,6424849,36741,146587,176539
Sierra Leone,53,29,197,211,1999,2001,1999,2004,109,527,223,173,15,291,353,155,40,80,434,215,76.3,5806,5917,328259,890596,1028429,6194,17992,21633
Singapore,51,23,12346,23628,2015,2010,2011,2011,224,7975,8403,8648,65,688,740,740,97,155,169,169,663.1,51333,52319,4705246,11531791,13260813,92260,308549,373513
Côte d'Ivoire,38,34,961,1282,2007,2008,2006,2007,836,952,904,937,80,107,120,139,68,114,104,128,100.4,7760,7909,579449,1569547,1981122,15249,57470,68809
Ghana,30,27,789,1330,2008,2008,2010,2010,1092,1153,1114,1119,96,147,104,103,112,183,220,225,91.7,7085,7221,527256,1322734,1639784,17575,65219,78451
Mauritania,29,26,807,628,2005,2006,2005,2006,749,776,753,772,69,79,78,81,32,68,51,83,110.9,8570,8734,469650,1084530,1294593,16195,47873,54656
Nigeria,29,24,1088,1688,2007,2007,2006,2006,1382,1427,1441,1452,126,165,167,170,82,142,159,175,109.5,8452,8615,687822,1837093,2367401,23718,94338,115022
China,29,9,5304,9648,2004,2009,2009,2009,124,5612,3134,3916,25,460,782,817,11,71,140,139,290.7,22509,22941,1992827,5209087,5953273,68718,218692,268313
Cabo Verde,20,14,205,304,2003,2002,2003,2004,798,997,781,786,74,107,75,73,28,47,58,64,40.3,3095,3154,231257,824641,988776,11563,46883,58398
India,19,19,12171,23392,2009,2009,2010,2010,8347,8367,8304,8301,687,707,708,708,133,186,165,164,675.6,52329,53334,4938903,11249691,13053448,259942,833230,994966
