Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Muuga,937,437,9231,13545,2002,2004,2006,2008,406,726,734,753,47,96,227,189,17,43,48,53,1876.2,140887,143592,9736049,27791527,33816801,10391,35970,44222
Paldiski,730,285,4967,4782,2002,2003,2007,2007,235,470,479,532,25,53,91,125,13,36,27,40,1075.6,80775,82326,5076473,14259022,17739512,6954,21654,24957
Tallinn Old City,604,31,7699,965,2002,1990,2004,2004,245,484,318,323,17,85,21,27,7,27,28,29,1456.9,107494,109558,6010602,15000189,18515449,9951,21538,19969
Sillamae,558,301,4785,7569,2006,2005,2009,2009,249,650,660,667,33,71,139,147,27,51,68,71,1025.6,77074,78553,4485017,13078165,15944666,8038,31056,39105
Paldiski Pohjasadam,433,73,2346,1016,1998,2004,2000,2001,174,500,307,326,12,68,42,47,3,36,11,15,509.6,38262,38996,3586772,9190567,11371788,8284,19632,19570
Kunda,403,165,606,845,2001,2000,2004,2004,290,433,427,426,29,45,85,84,22,31,34,33,190.4,14288,14563,1715743,4938706,6857754,4257,15468,20448
Tilgu,376,260,9893,16645,2007,2007,2009,2009,746,858,1010,1011,88,92,176,175,5,11,13,13,1268.3,95534,97368,6704096,22455025,26101073,17830,72777,89831
Vanasadam,289,71,8808,912,2005,1999,2008,2007,245,379,412,414,18,28,40,40,8,7,7,7,1999.9,150178,153061,3321193,16893410,19067946,11492,51379,54210
Oti,277,215,3522,5929,2005,2005,2009,2010,177,513,739,755,28,65,181,183,4,9,20,21,463.6,34922,35593,2537022,8327209,9804170,9159,36260,45326
Piirivalvesadam,274,118,300,427,1997,2000,2003,2003,191,495,423,427,30,103,95,96,15,72,46,40,133.4,10019,10211,989131,2854636,4030390,3610,12759,17362
