Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Muuga,181,46,163,230,1989,1998,2004,2005,91,211,213,219,23,69,81,78,20,47,38,41,126.0,9457,9639,292523,641282,796299,1616,5384,6820
Sillamae,114,60,170,243,1991,2002,2006,2007,132,226,179,159,16,54,70,56,24,55,20,16,91.8,6891,7023,242088,683840,830283,2124,7127,8902
Tallinn Old City,108,17,730,114,1985,1988,2003,2000,107,364,1189,511,31,197,264,250,18,40,1,4,231.1,17350,17683,711555,1671824,2101099,6588,14585,14388
Paldiski,103,40,198,195,1989,1996,1995,2001,186,219,246,258,23,41,39,54,21,39,52,54,88.1,6614,6741,329605,927168,1136234,3200,8987,9543
Vene Balti,98,36,48,66,1990,1994,1996,1997,102,503,197,203,32,159,95,89,18,166,114,72,100.5,7548,7692,133408,254251,339695,1361,4298,5629
Paljassaare,96,25,17,20,1984,1990,1987,1985,68,237,106,93,22,395,171,80,25,73,51,35,64.6,4853,4946,87676,99539,129674,913,2471,3170
Rohukula,64,13,131,26,2008,1996,2015,2012,365,383,799,726,37,94,69,75,44,94,489,422,89.6,6728,6858,167620,411365,515336,2619,5855,6076
Piirivalvesadam,61,43,25,34,1995,1997,1997,1998,132,220,192,186,15,31,182,59,15,62,35,36,24.7,1855,1891,107208,294241,416377,1758,5710,7974
Dirhami,59,16,5,2,1985,1986,1985,1986,308,370,587,471,64,75,496,370,22,126,187,252,46.4,3481,3548,10343,23158,26291,175,430,513
Miiduranna,52,9,3,1,1985,1985,1985,1984,282,266,432,345,55,72,543,469,9,41,21,22,30.4,2286,2330,6431,14266,16219,124,291,345
Kalana,42,28,76,122,1995,1996,2004,2006,246,389,235,240,16,53,110,71,26,62,73,49,41.4,3106,3165,89248,225556,273286,2125,6620,8300
Kunda,38,26,35,39,1994,1996,2001,2002,146,322,303,307,18,29,58,62,23,202,146,82,28.4,2132,2173,92091,244724,320866,2423,8110,10177
Osmussaar,37,21,27,25,1984,1986,1992,1993,267,1734,722,604,36,141,305,100,10,144,139,69,36.3,2723,2776,77313,178971,212956,2090,5074,5925
Heltermaa,36,9,204,42,2012,2000,2016,2013,486,361,1294,874,85,54,946,794,21,14,21,20,121.2,9098,9273,233563,587572,736218,6488,14644,14554
Paldiski Pohjasadam,34,17,113,45,1991,1993,1989,1989,165,832,348,311,28,169,85,80,6,38,31,30,42.3,3178,3239,248958,620454,762412,7322,16164,15273
Vikati Sadam,27,25,45,61,1995,1995,2004,2004,261,285,267,262,17,25,23,24,8,18,26,29,12.9,968,987,80880,233892,295718,2996,10711,13726
Vanasadam,25,11,132,17,1997,1993,2000,2000,148,209,359,340,16,39,15,17,9,17,25,27,35.0,2626,2676,92695,301335,386553,3708,10570,11060
Ringsu,24,21,33,48,1996,1995,2000,2000,323,492,652,675,41,52,101,103,14,41,19,17,12.8,958,976,90066,249712,328499,3753,12459,15945
Lehtma,24,13,17,23,1986,1987,1996,1997,270,452,637,673,38,47,40,36,19,126,49,48,11.8,891,908,38635,106524,133154,1610,5000,6209
Roomassaare,20,16,3,3,1988,1988,1991,1991,362,418,203,162,66,68,61,30,33,67,44,21,7.3,548,559,14499,37980,52249,725,2143,2984
Lehtma Kalurisadam,20,13,3,3,1985,1985,1982,1981,278,289,246,215,38,41,65,50,38,37,40,34,4.3,324,330,10644,27567,36578,532,1528,2062
Kelnase,19,2,1,0,2013,2016,2014,2013,128,130,195,199,49,53,180,185,13,54,149,151,13.8,1032,1052,3509,7586,10061,185,412,586
Oti,19,15,24,37,1994,1998,2005,2006,75,122,123,122,14,58,152,151,26,26,25,26,37.2,2789,2843,34219,85621,108369,1801,5991,7635
Tilgu,19,19,66,107,2008,2008,2008,2008,126,165,134,131,15,38,61,60,22,34,58,59,33.8,2541,2590,67810,192278,224298,3569,12117,15009
Leppneeme,17,1,1,0,2013,2013,2013,2013,206,206,367,367,74,74,404,404,20,20,53,53,12.4,928,946,5785,12516,16641,340,760,1083
Ruhnu,17,13,11,9,2000,1997,2000,2003,388,547,387,303,39,65,72,39,14,49,80,34,12.3,926,944,48164,126242,182553,2833,8472,11910
Kakumae,17,13,24,39,1990,1992,2005,2006,93,156,153,152,11,29,73,72,22,33,32,31,11.8,888,905,29727,87997,111830,1749,6645,8488
Virtsu,16,14,8,10,1985,1986,1987,1986,269,443,540,849,36,147,181,74,35,64,99,103,14.5,1086,1107,21081,61326,86335,1318,4836,6287
Parnu,16,12,7,7,1989,1995,1989,1996,198,242,230,175,28,37,157,70,10,25,108,58,10.2,767,781,36682,93612,127567,2293,6581,8989
Roopa,16,16,60,69,1996,1996,2001,2005,294,384,311,328,24,37,42,47,9,26,15,17,16.3,1221,1245,59513,225338,290559,3720,17142,21622
Westmeri,15,6,1,0,1985,1985,1986,1986,264,260,372,364,41,41,52,56,26,32,76,70,3.7,281,286,1198,2657,3021,80,188,223
Nova Sadam,14,8,3,2,1988,1990,2001,2013,179,1380,82,46,28,44,46,69,70,203,487,190,12.0,897,915,2898,8324,9507,207,654,785
Saaremaa Sadam,14,12,35,47,1991,1991,1998,1999,195,575,854,1615,28,75,112,121,70,94,93,100,14.0,1054,1074,59330,173314,212656,4238,13780,16514
Montu Vaikelaevade Sadam,14,14,71,107,2001,2001,2003,2003,384,538,660,692,36,43,49,50,17,46,91,94,18.2,1369,1395,91206,313850,394747,6515,26854,34004
Hundipea,14,2,16,3,1976,1988,2000,1995,217,323,416,339,25,22,20,51,2,14,27,24,8.5,639,651,19276,45815,54866,1377,2968,2856
Bekkeri,13,7,6,10,1993,1998,2004,2006,70,177,261,290,19,54,108,70,32,34,39,40,7.6,573,584,18186,32026,36254,1399,3765,4666
Sviby,12,5,11,1,2005,1996,2014,2013,817,778,1446,1262,154,171,1520,1487,34,223,51,58,32.8,2465,2512,48516,104963,139260,4043,9030,12837
Veere,11,7,2,2,1981,1986,1983,1988,845,792,208,142,66,133,188,123,72,89,114,86,8.9,665,678,8522,18198,20552,775,1895,2270
Veere Vanasadam,11,7,2,1,1987,1986,1984,1980,896,1033,660,389,124,317,380,350,93,121,276,199,13.9,1047,1067,7233,17200,21091,658,1694,2142
Nurme,11,9,58,15,1998,1998,2007,2006,67,152,391,112,15,19,14,15,42,41,59,64,17.9,1342,1368,49425,121935,149392,4493,10728,10657
Lohusalu,11,9,9,16,1993,1994,2006,2007,276,297,145,139,33,44,43,41,19,61,172,180,15.4,1155,1177,11548,25956,30523,1050,2694,3441
Naissaare,11,6,56,97,1991,2000,2011,2012,102,1337,435,459,18,231,83,71,22,30,15,14,12.6,948,966,27527,82263,94841,2502,11189,13690
Keri Saar,10,5,2,2,1977,1979,1981,1981,156,182,73,72,16,22,21,21,9,35,40,43,2.8,210,214,3481,9534,10659,348,1028,1217
Loksa,10,5,1,0,1987,1991,1989,1987,305,555,401,456,44,87,107,106,38,86,99,101,4.0,297,303,1007,2224,2522,101,236,279
Kaldu,9,9,5,4,1988,1988,1983,1989,194,769,386,250,13,88,304,144,31,505,97,41,10.8,814,829,33906,78484,106056,3767,9376,13227
Liu,9,8,3,3,1987,1989,1992,1996,212,313,255,244,17,20,26,27,9,10,10,8,2.2,166,169,15783,40708,56203,1754,5072,7061
Kaavi Paadisadam,9,9,9,12,1988,1988,1987,1989,238,345,418,399,26,32,48,46,19,69,23,21,4.9,372,379,46911,107142,129543,5212,13763,17023
Toila,8,5,1,0,1987,1988,1984,1984,252,252,976,759,36,48,3290,3153,28,905,98,101,16.6,1246,1270,2382,5284,6007,298,701,831
Osterby,7,4,1,0,1986,1986,1987,1987,285,668,696,696,88,113,166,166,46,57,53,53,3.6,267,272,1028,2281,2593,147,346,410
Korgessaare,7,7,2,2,1987,1987,1992,1994,120,341,182,186,21,21,24,23,31,139,188,170,4.5,338,345,6703,18945,26679,958,3171,4401
Lautri,7,7,2,2,1995,1995,2005,2006,171,229,208,200,26,34,27,23,25,51,33,16,1.6,118,120,5277,14947,20785,754,2621,3510
Viinistu Sadam,7,4,1,0,1985,1984,1984,1980,524,595,560,543,65,76,97,84,6,22,31,19,2.2,163,166,1682,3571,3943,240,548,632
Ristna,7,6,0,0,1988,1989,1999,1993,91,106,117,110,28,36,55,51,16,39,30,30,0.9,71,73,193,419,469,28,64,75
Haldi,7,6,2,2,1992,1989,1992,1991,214,473,224,192,23,61,52,23,75,74,29,15,2.9,216,220,5225,9231,10500,746,1894,2227
Kuivastu,6,6,2,1,1989,1989,1989,1993,120,185,265,175,30,40,29,25,8,20,27,20,1.0,73,74,3643,9258,11766,607,1437,1531
Leppneeme Kalasadam,6,1,0,0,2013,2013,2013,2013,210,210,286,286,36,36,104,104,54,54,198,198,3.6,267,272,1591,3443,4578,265,592,844
Montu,6,6,8,10,1990,1990,1988,1991,402,2592,631,569,28,292,502,351,30,553,936,629,16.5,1240,1264,29080,75552,98225,4847,15033,19176
Eisma,6,5,1,1,1987,1990,1994,1994,225,329,87,75,20,59,31,18,25,54,34,54,2.6,193,197,3133,6851,7798,522,1295,1506
Aegna,6,2,168,22,2004,1998,2007,2007,635,358,918,888,18,14,15,15,45,22,93,93,40.7,3058,3117,135786,335611,411668,22631,48315,44038
Kaunispe,6,6,23,31,2001,2001,2005,2004,295,360,429,439,22,23,30,31,8,12,19,19,5.2,391,398,37558,122680,149001,6260,22458,28079
Varese Sadam,5,5,14,21,1998,1998,2006,2007,200,329,428,426,34,28,36,36,12,59,12,12,2.6,194,198,12427,32336,46639,2485,10173,12992
Suursadam,5,3,0,0,1997,1999,1996,1995,206,329,350,357,17,109,56,49,110,126,262,269,2.7,205,209,521,1146,1383,104,241,306
