int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Latakia,114,68,1995,1995,2000,2001,990679717,1375614628,229,746,664,688,190,14586
Al Ladhiqiyah,216,55,2000,2000,2003,2003,1530363455,1605941249,275,425,401,360,319,24484
Tartous,183,105,1987,1987,1993,1992,1091686551,1434054647,663,780,955,947,257,19623
Arwad,22,20,1984,1984,1998,1997,99349056,136325014,540,698,792,818,23,1759
Banghazi,2,2,2000,2000,2002,2002,25547413,39227371,862,862,897,899,4,305
Baniyas,4,4,1995,1995,2003,2005,11593709,16189795,470,445,366,349,3,244
