dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,1683,371,1995,2003,2003,2003,2306477038,2911074172,159,238,337,331,797,61145
Chemical tanker,468,84,2007,2007,2006,2007,2101372191,3145792806,237,228,303,303,776,59753
Service - other,119,24,1989,1996,1982,1978,129944507,144880141,190,349,670,753,75,5683
Liquefied gas tanker,195,32,2007,2009,2006,2006,302782217,328887222,261,360,370,362,184,13972
Container,1419,113,2002,2004,2002,2002,4603788702,5471497149,224,233,298,297,1496,114751
Cruise,257,91,1995,1998,2001,1999,3798558782,429831947,196,339,383,371,998,76912
Bulk carrier,164,50,1995,2003,2003,2003,394812930,644448692,218,251,251,247,102,7825
Ferry-RoPax,171,6,2003,2008,2005,2005,702057110,113538742,302,354,479,523,356,26944
Service - tug,353,31,1989,1993,1995,1993,51263287,36757703,160,958,466,471,235,17648
Miscellaneous - fishing,382,30,1995,1995,1989,1987,97477114,70568122,375,1841,1034,963,255,19165
Vehicle,5,4,2003,2002,2006,2006,33138563,10315375,223,186,177,183,2,177
Oil tanker,471,19,2008,2009,2007,2006,467506463,803400012,84,185,163,169,524,39836
Ferry-pax only,94,9,1995,1999,2001,2000,143072407,18523199,1272,3219,3584,3297,177,13307
Ro-Ro,23,11,2004,2003,2004,2004,279759298,136052010,228,288,245,242,45,3463
Yacht,1,1,1911,1911,1911,1911,172759,185162,570,570,570,570,0,0
