int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,2435,1042,2004,2004,2005,2005,12843551595,17612023279,789,1029,1106,1087,3117,237484
Bulk carrier,627,456,2006,2009,2010,2010,42212615103,72078047587,1269,2237,2652,2651,3616,279389
Chemical tanker,820,408,2007,2008,2009,2009,13345414563,21342907231,937,1326,1406,1431,2877,221114
Oil tanker,229,183,2008,2009,2009,2009,28984637064,54097267105,1908,2187,2447,2482,3722,287755
Service - other,85,56,1996,1996,1994,1993,553408445,562901956,846,1538,1872,1943,184,13952
Liquefied gas tanker,358,138,2009,2008,2010,2010,22313876622,18291115637,1111,1837,2915,2682,3033,199200
Container,2016,404,2005,2006,2009,2009,136151936417,152079073588,842,1411,1706,1654,15480,1194576
Cruise,638,158,2000,1999,2005,2003,32688419116,3197492959,418,876,736,738,7062,545298
Ro-Ro,198,31,2007,2005,2008,2008,6534349785,3279514653,971,1314,1126,1103,878,67327
Service - tug,78,62,1998,1999,2007,2006,74225761,53324171,616,986,1243,1201,120,8991
Vehicle,280,90,2006,2007,2006,2006,11517146588,3702521371,822,935,897,911,816,63045
Offshore,16,15,2002,2002,2006,2007,144855307,120611792,883,2297,926,919,44,3353
Ferry-RoPax,22,8,2006,2005,2005,2005,148384982,21161678,320,391,430,374,47,3610
Other liquids tankers,3,3,1996,1996,1999,1999,71706657,92142408,1191,1141,1163,1163,49,3757
Miscellaneous - fishing,115,51,1993,1993,1985,1983,205869885,153919416,363,3321,3488,3504,232,17455
Refrigerated bulk,17,17,1995,1995,1996,1996,430531394,446800896,1745,2567,2916,2851,190,14533
Ferry-pax only,15,14,1988,1992,1997,1992,106933135,14705276,1169,16133,16776,10301,128,9577
Yacht,3,2,1944,1960,1934,1914,1886448,1603231,1178,1637,1712,2260,1,66
