Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
New Zealand,108,27,2582,2110,2004,2004,2002,2005,1152,1290,1172,1173,88,109,86,90,20,46,24,30,494.0,38167,38900,2807960,9222982,10515441,26000,89282,102927
New Caledonia,95,47,2073,1699,2005,2004,2005,2009,714,968,895,1028,61,200,215,335,23,142,31,45,393.4,30352,30935,1507935,5606278,6425879,15873,63511,74323
Solomon Islands,62,45,1032,1325,2008,2009,2008,2008,1585,8526,1413,1259,224,902,260,178,52,736,196,121,285.5,21729,22147,1130128,3639407,4189553,18228,67019,80410
Tonga,60,13,300,232,2007,2003,2002,2005,503,487,481,466,45,46,45,44,22,93,24,31,92.3,7068,7203,392875,1359088,1638951,6548,24311,29635
Australia,39,25,1365,1130,2006,2003,2005,2010,2203,2120,2029,2230,194,226,166,206,32,301,71,111,349.3,26931,27448,810268,2719019,3333708,20776,91700,111735
Vanuatu,35,15,568,342,1999,2003,2002,2003,559,873,601,600,48,116,47,56,22,20,22,36,113.2,8741,8909,413571,1594751,1862291,11816,45567,52963
Kiribati,26,7,373,434,2010,2011,2013,2013,1242,1304,1245,1243,92,110,89,88,24,63,33,33,95.3,7332,7473,536483,1777892,2043759,20634,73440,87951
Japan,23,22,4041,2441,2007,2007,2007,2007,4083,4111,4093,4118,286,299,287,308,44,101,63,119,288.8,22354,22783,1602378,5638060,6823834,69669,260790,295138
Tuvalu,22,7,55,59,1999,1995,2004,2006,650,1386,805,716,61,269,285,173,31,125,84,59,27.9,2111,2152,161331,439316,562353,7333,21682,27992
China,20,17,1588,1879,2009,2008,2007,2005,4769,4832,4731,4285,386,570,672,484,84,106,107,90,163.3,12592,12834,1905860,4384249,5465746,95293,285427,350912
Wallis and Futuna,19,5,43,50,2007,2005,2005,2005,428,444,693,687,42,39,230,224,28,75,34,33,23.0,1753,1787,125092,319419,377935,6584,18577,22067
Papua New Guinea,17,7,395,464,2004,2005,2002,2003,1987,1996,1994,2003,163,170,160,163,34,45,43,45,75.6,5801,5912,483625,1752898,2030789,28449,112582,136759
"Korea, Republic of",16,11,1420,2224,2007,2004,2013,2013,4502,7683,4598,4590,360,913,417,406,38,200,45,42,205.2,15847,16151,768196,3671936,4247987,48012,270133,328708
American Samoa,13,12,383,106,2006,2006,2005,2011,715,728,743,799,44,58,53,82,10,14,14,19,96.4,7462,7605,213150,969778,1079138,16396,68248,71789
Singapore,11,8,1553,2544,2012,2011,2012,2012,4762,4736,4758,4760,399,402,401,402,47,55,52,52,207.0,16032,16339,947551,4070486,4658348,86141,447548,540520
Marshall Islands,6,5,160,180,1997,1994,2002,2003,11999,21454,3734,3420,1605,3609,2180,2056,32,42,37,33,94.6,7156,7293,559886,1350843,1532672,93314,233948,272101
Nauru,5,2,42,50,2002,2004,2001,2001,1347,1350,1375,1374,185,202,259,257,19,17,67,66,7.6,575,586,93947,268387,363826,18789,71631,89968
