Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Suva,426,81,635,557,1991,2005,1999,2005,130,903,161,154,13,42,57,53,29,181,115,132,419.9,31778,32388,1368519,3944056,4534141,3212,9009,11388
Savusavu,205,7,203,48,1969,1992,1977,1979,125,131,153,162,11,16,23,24,10,9,11,11,72.6,5480,5585,244922,668124,814805,1195,2886,2813
Lautoka,162,48,424,306,2005,2003,2004,2004,134,666,177,156,13,99,81,66,24,58,55,41,187.5,14261,14534,461961,1569895,1796508,2852,9939,11803
Nadi,123,17,210,90,1999,2004,1998,2006,150,170,174,182,43,25,33,46,19,36,29,51,195.5,14796,15080,208813,783507,1132450,1698,6511,8909
Turtle Island,80,5,19,4,1997,1996,1997,1997,119,1115,118,102,24,246,110,131,22,22,31,19,94.3,7079,7215,35468,109123,200808,443,1443,2473
Rabi,69,9,20,6,1977,1994,1975,1981,57,182,72,83,6,39,17,31,16,14,16,16,18.2,1364,1390,36801,114757,156216,533,1428,1891
Malau (Labasa),57,8,37,46,2010,2010,2010,2011,200,193,249,248,25,22,30,30,21,38,48,58,37.0,2795,2849,86830,264572,300888,1523,5241,6708
Moala,32,3,9,6,1993,2003,1987,1989,132,133,331,329,14,44,161,166,9,12,14,15,14.5,1089,1110,173186,394573,497819,5412,12105,17154
Vanua Mbalavu,24,4,5,3,1997,2003,2002,2004,183,300,234,225,20,53,68,84,10,20,18,15,8.1,606,617,41642,111019,127174,1735,4064,5698
Levuka,19,10,6,5,1996,1997,1994,1995,126,129,143,154,18,266,206,79,21,33,19,9,22.6,1700,1733,11346,44523,66882,597,2298,3478
Cicia,18,3,3,2,1988,2003,1983,1984,144,149,201,198,19,33,65,66,2,24,7,8,4.2,314,320,71592,156473,205276,3977,8883,12609
Nambouwalu,14,7,7,9,2004,2004,2006,2006,116,909,137,163,13,174,115,94,16,162,314,409,14.6,1100,1121,102744,248518,328617,7339,19136,25843
Yasawa Island,10,4,9,2,2011,2007,1997,2006,79,448,156,163,11,39,23,57,7,20,13,31,4.4,336,342,5642,43800,34074,564,2245,2890
Mana Island,8,3,1,0,1997,1997,1997,1996,131,180,106,118,62,179,86,218,13,42,18,53,8.4,631,643,2983,10253,12229,373,980,1565
Ellington Wharf,6,2,8,13,1995,1993,1991,1990,98,126,151,169,14,264,429,497,12,6,3,1,5.7,440,449,4551,18878,33425,759,3876,6129
Maolo Lailai Island,6,1,0,1,1996,1996,1996,1996,120,120,202,202,278,278,649,649,14,14,98,98,10.3,775,790,2194,16919,7984,366,893,1272
Vatulele,2,2,2,2,2012,2012,2011,2011,3855,3855,2664,2959,926,926,1811,1815,3,3,0,0,3.0,227,231,13805,31191,34929,6902,16249,19292
Labasa,2,1,0,0,2014,2014,2014,2014,129,129,129,129,26,26,26,26,10,10,10,10,0.5,35,36,388,2989,1410,194,473,674
Singatoka,2,2,1,1,2010,2010,2013,2013,3314,3314,1925,1404,568,568,1046,1012,10,10,13,13,1.8,135,137,10666,24075,28727,5333,12876,15867
Momi,1,1,12,20,2008,2008,2008,2008,389,389,389,389,20,20,20,20,119,119,119,119,1.9,147,150,3811,27909,32179,3811,32910,40456
Vatia Wharf,1,1,0,0,2008,2008,2008,2008,136,136,136,136,15,15,15,15,32,32,32,32,0.1,6,6,57,125,143,57,133,158
