Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
New Zealand,120,55,3593,2874,2005,2007,2004,2006,1215,1286,1266,1269,92,116,108,114,24,60,49,48,604.4,46674,47571,3020855,10399938,12107035,25174,91552,106801
American Samoa,86,29,927,1040,2005,2007,2007,2008,668,759,699,690,62,72,65,68,12,31,22,25,198.8,15327,15621,1155008,3782561,4387710,13430,49397,58157
Tonga,72,18,513,366,2007,2005,2002,2007,502,487,513,500,44,41,54,67,11,15,13,15,122.9,9447,9628,489262,1651557,2030836,6795,26054,31913
Solomon Islands,34,29,93,86,2009,2008,2004,2000,8028,7509,2793,1987,1505,1404,1201,734,12,18,22,23,91.8,6898,7030,283481,650498,771140,8338,21619,26037
Tuvalu,33,11,114,130,2000,1997,2000,2001,650,3383,1077,1007,65,427,567,533,37,60,46,42,47.7,3613,3682,522623,1252989,1473839,15837,40784,49245
Vanuatu,32,14,473,302,2004,2002,2002,2008,610,1530,639,611,48,253,57,57,22,41,19,21,85.0,6558,6684,389607,1450272,1748225,12175,45110,53473
Australia,32,16,2580,632,2006,2007,2004,2007,1856,2467,2235,2215,163,227,181,274,15,57,20,33,527.5,40803,41586,1323606,5065056,5601058,41363,161887,178181
New Caledonia,29,21,795,443,2007,2006,2004,2009,741,776,762,775,59,62,58,69,33,30,19,35,166.4,12848,13094,414258,1716516,1910699,14285,62185,70046
Wallis and Futuna,24,8,48,50,2006,2005,2006,2006,461,480,461,490,44,63,63,67,30,19,34,38,24.5,1858,1894,122924,326345,392844,5122,14999,18022
China,24,20,2322,2060,2008,2007,2007,2006,4704,5221,4681,4677,444,663,423,482,26,201,194,199,261.0,20119,20505,2485476,6208991,7556353,103562,305984,371297
French Polynesia,15,4,677,1109,2011,2009,2013,2013,1952,1928,1960,1960,151,156,162,162,36,31,40,40,108.7,8409,8571,230775,1589304,1829229,15385,128062,158138
Kiribati,15,6,235,323,2001,1999,2002,2002,1227,1836,1257,1241,84,212,111,98,22,53,29,26,52.9,4056,4134,328775,1218504,1390079,21918,87590,106692
Canada,14,5,2013,2615,2007,2007,2007,2007,5212,5220,5244,5243,313,314,324,324,28,23,31,31,339.6,26247,26751,2194830,7907337,8584128,156774,566231,660974
Japan,12,11,1832,1483,2006,2006,2006,2005,4056,4818,4357,4161,322,495,432,378,54,56,55,63,164.9,12709,12953,1020394,2683245,3160048,85033,265844,300005
United States of America,9,7,1032,845,2003,2003,2003,2007,2796,3454,3034,3099,164,233,205,231,15,123,81,78,356.2,27510,28038,832846,2930555,3393024,92538,341036,409115
Marshall Islands,8,3,174,244,2002,2002,2002,2002,1611,1608,1616,1616,114,119,115,115,28,30,49,49,34.3,2630,2681,225783,875858,999414,28223,118174,144199
Singapore,8,6,1116,1828,2012,2012,2012,2012,4743,4794,4791,4788,416,428,416,415,34,67,64,62,137.0,10609,10813,564406,2664066,3072346,70551,406707,493022
Papua New Guinea,7,2,30,42,2002,1990,2005,2006,1918,2001,1917,1916,201,419,228,225,23,37,31,31,15.1,1137,1159,158884,397820,492892,22698,66269,81704
"Korea, Republic of",6,6,842,777,2007,2007,2011,2013,4860,4789,5487,5464,320,330,362,420,88,173,188,92,74.1,5734,5844,303411,1621827,1896796,50568,284270,335496
Cook Islands,3,1,19,28,2010,2010,2010,2010,1364,1364,1326,1326,121,121,123,123,45,45,41,41,7.2,553,564,45315,140342,179001,15105,51947,67035
Panama,2,2,321,483,2010,2010,2009,2009,6750,6750,6750,6749,681,681,680,678,42,42,42,43,34.5,2671,2723,207355,484993,683117,103678,402072,496897
"Taiwan, Province of China",2,2,55,67,1980,1980,1984,1983,13491,13491,15235,14380,1367,1367,1992,1852,485,485,493,491,45.5,3437,3503,198846,434489,489411,99423,211870,228755
Samoa,2,1,7,7,2012,2012,2012,2012,669,669,669,669,53,53,54,54,15,15,14,14,1.9,148,151,5032,14578,16098,2516,13774,18113
Senegal,1,1,0,0,1980,1980,1980,1980,37,37,37,37,10,10,10,10,1,1,1,1,0.0,2,2,294,652,742,294,692,820
