Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Suva,381,60,696,374,1988,2002,1995,2001,137,755,171,159,13,115,69,72,14,48,39,41,301.0,22860,23299,1081222,3139121,3700223,2838,8116,9663
Savusavu,210,9,222,52,1970,1994,1983,1985,122,187,163,161,12,19,29,30,14,19,38,45,124.2,9378,9558,228725,695436,856651,1089,2950,3014
Lautoka,194,47,309,306,2005,2003,2005,2006,133,246,145,143,14,112,34,33,23,51,34,42,129.0,9798,9986,397632,1267039,1522964,2050,7259,8982
Nadi,125,27,164,182,2001,2008,2005,2010,133,147,142,139,22,28,29,27,22,32,31,34,168.9,12815,13061,171077,586962,782188,1369,5281,6909
Turtle Island,81,5,28,8,1997,1996,1996,1996,118,142,173,195,49,49,54,56,6,36,92,82,122.7,9211,9388,48857,198143,399216,603,2535,4643
Rabi,68,9,20,6,1977,1997,1976,1983,54,224,75,91,7,44,33,51,1,27,10,16,16.8,1263,1287,44558,129196,177928,655,1710,2280
Malau (Labasa),59,12,73,98,2010,2010,2011,2011,226,218,299,286,29,28,164,142,23,47,83,79,82.1,6196,6315,145177,547190,499202,2461,8249,10512
Moala,32,3,16,12,1993,2003,1990,1993,508,579,603,631,45,81,96,100,91,64,162,176,34.2,2571,2620,281355,683699,814516,8792,19716,27937
Vanua Mbalavu,25,5,12,9,1997,2003,1991,1993,276,430,556,602,30,35,99,96,66,59,141,157,19.5,1467,1495,212579,508955,626685,8503,19382,27476
Cicia,18,3,3,2,1988,2003,1983,1984,87,134,206,204,12,26,36,36,8,45,67,68,5.1,380,387,73259,161588,210514,4070,9092,12922
Levuka,15,9,10,6,2000,1999,1997,1999,113,218,232,184,27,42,148,108,36,95,66,56,24.3,1825,1860,16751,89098,135908,1117,4918,8499
Nambouwalu,12,6,6,7,2006,2003,2009,2010,86,1317,454,931,11,139,181,273,24,329,1726,1640,31.7,2380,2426,82006,273713,274515,6834,17711,24377
Yasawa Island,11,5,11,6,2010,2005,1994,2005,103,95,117,97,17,16,14,14,12,30,40,74,4.5,345,352,5192,28004,29184,472,2062,2510
Mana Island,8,4,1,0,1999,2000,1998,1998,93,138,100,103,9,116,40,149,51,225,86,134,8.3,626,638,2131,5832,7353,266,640,979
Maolo Lailai Island,7,3,14,21,2000,2004,2008,2008,300,2562,423,390,200,547,172,55,119,110,113,121,11.5,870,887,9176,51669,48120,1311,6532,8130
Ellington Wharf,6,2,2,1,1998,2000,1997,1998,71,62,93,83,11,12,10,11,5,4,43,36,2.6,194,198,2457,13454,28778,409,2358,4471
Vatulele,5,5,10,6,2007,2007,2008,2008,90,4129,155,176,13,337,327,183,50,415,546,947,6.9,518,528,26251,62811,70958,5250,12887,15110
Singatoka,3,3,3,3,2005,2005,2012,2013,1924,6291,4304,3378,14,139,42,20,70,1086,2862,3002,5.7,432,440,23415,52325,60749,7805,18570,22387
Momi,3,3,8,11,2010,2010,2011,2010,126,8793,260,214,14,13,14,14,34,1668,2574,2055,16.1,1212,1236,32933,79364,90374,10978,28425,33852
Vatia Wharf,2,2,7,12,1999,1999,1990,1990,245,245,176,176,287,287,513,516,1495,1495,26,4,8.5,651,663,2647,7676,8767,1323,5903,7209
Labasa,2,1,0,0,2014,2014,2014,2014,173,173,173,173,60,60,63,63,30,30,32,32,1.3,99,101,519,4004,1889,260,634,903
