int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,206,186,2012,2012,2012,2012,21742055618,33411852452,1938,3156,3726,3551,1902,147117
Container,1053,138,2006,2007,2007,2007,22051011599,26642931034,695,994,872,867,4413,340387
Chemical tanker,101,67,2011,2011,2012,2012,3177571743,5314187303,1577,1425,1504,1512,573,44196
Service - tug,27,19,2010,2008,2001,1995,6838518,4382789,300,881,734,792,37,2784
General cargo,147,90,2002,2005,2003,2004,4897340008,6513873493,730,2239,3217,3147,708,54550
Cruise,222,72,2001,1999,2004,2003,10230622720,999792507,560,689,712,697,2443,189011
Refrigerated bulk,306,52,1998,1996,2002,2002,6880646920,6379988450,893,2139,1848,1825,2714,207458
Oil tanker,27,14,2012,2009,2009,2008,657264608,1020961569,1516,1547,1496,1504,167,12847
Vehicle,127,99,2008,2008,2007,2007,6698605781,2209011149,517,986,922,930,434,33597
Service - other,6,5,1995,1996,1990,1988,47963050,39627858,1464,1670,1429,1313,20,1487
Liquefied gas tanker,41,8,2003,2004,2005,2005,851846831,866792989,1556,1426,1798,1732,173,13235
Miscellaneous - fishing,29,13,1989,1993,2000,1999,49243674,48458034,473,1371,1405,1591,33,2514
Ferry-pax only,2,2,1995,1995,1997,1988,10978271,2478509,868,868,644,513,6,479
Ferry-RoPax,8,5,2006,2008,2012,2014,27700247,14588332,277,5835,957,3860,37,2768
Offshore,18,2,2001,1991,1999,1995,2963182,2807779,227,322,286,306,10,745
Ro-Ro,21,3,1986,1993,1985,1985,266588690,240764728,1312,926,1270,1287,64,4930
Other liquids tankers,9,1,2018,2018,2018,2018,82930151,89334243,1226,1226,2111,2111,42,3230
