int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,85,47,2001,2008,2008,2008,2654964459,4191993875,582,2952,2643,2697,281,21626
General cargo,157,63,2000,2003,2005,2005,729875924,1027667145,575,1104,997,997,201,15401
Container,236,26,2007,2007,2007,2007,1379230820,1791675857,556,562,506,509,358,27449
Oil tanker,110,8,2008,2007,2007,2007,383756546,573459177,575,551,567,568,188,14322
Liquefied gas tanker,32,2,2011,2010,2011,2011,59489265,60606204,557,502,499,499,36,2784
Refrigerated bulk,54,17,1998,1996,1998,1998,874701014,986297779,1685,1480,1456,1456,353,26919
Chemical tanker,47,11,2007,2008,2007,2007,143543215,215628379,278,624,568,560,64,4845
Service - other,15,10,1998,2007,2012,2012,89961111,44016227,885,9104,5118,3286,91,6865
Offshore,17,10,1996,1992,2005,2005,33668864,42301926,936,2642,2435,2545,49,3663
Service - tug,7,7,2006,2006,2003,2003,20800389,17189966,989,1912,2925,2977,24,1819
Cruise,1,1,2018,2018,2018,2018,8877530,1204019,890,890,890,890,2,169
Miscellaneous - fishing,9,1,1986,1986,1986,1986,1488236,1414894,103,103,170,170,1,81
Vehicle,24,2,2003,2003,2005,2004,185789780,59206638,524,380,515,520,34,2653
