int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,85,47,2001,2008,2008,2008,1508551037,2382155487,570,1605,1502,1533,183,14074
Oil tanker,110,8,2008,2007,2007,2007,462603706,692057421,661,637,684,686,211,16010
General cargo,157,63,2000,2003,2006,2006,542495999,792765551,241,950,741,769,138,10511
Container,236,26,2007,2007,2008,2008,1219077772,1570030463,550,447,447,446,298,22812
Liquefied gas tanker,32,2,2011,2010,2011,2011,68560334,69869960,598,608,575,575,40,3051
Refrigerated bulk,54,17,1998,1996,1998,1998,2256639560,2557276222,4033,3224,3757,3776,857,65450
Chemical tanker,47,11,2007,2008,2006,2006,143603336,216834643,534,714,568,563,61,4637
Offshore,17,10,1996,1992,2005,2004,26785676,32241388,560,2459,1937,1940,61,4576
Service - other,15,10,1998,2007,2012,2009,44618568,27183766,597,6465,2539,2029,123,9255
Service - tug,7,7,2006,2006,2005,2004,26978855,22228587,1955,2549,3794,3849,23,1716
Cruise,1,1,2018,2018,2018,2018,2613755,354492,262,262,262,262,1,52
Miscellaneous - fishing,9,1,1986,1986,1986,1986,2631599,2501911,108,108,300,300,2,187
Vehicle,24,2,2003,2003,2003,2001,148338940,50714500,244,403,412,445,22,1702
