int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,2251,792,2003,2003,2006,2006,6012093527,8611516083,590,724,791,769,1638,124194
Miscellaneous - fishing,574,187,1998,1997,1999,2000,987129978,805103245,1269,2422,2268,2362,1084,81517
Vehicle,146,35,2002,2005,2004,2004,3857120876,1244342363,623,778,742,758,335,25520
Chemical tanker,616,216,2006,2007,2008,2008,3531950712,5501773788,240,663,572,587,1047,79502
Bulk carrier,277,233,2008,2009,2011,2011,11785063423,21205112249,958,1366,1607,1661,945,72534
Container,1204,92,2005,2006,2007,2007,6783701586,8131381126,615,624,599,598,2046,155534
Ro-Ro,1443,26,2009,2007,2011,2010,8748718400,3439805658,123,443,302,328,1483,113673
Cruise,204,72,1995,1996,2002,1998,3743871541,411105527,206,390,368,375,845,65013
Service - other,70,32,2001,2000,2003,2004,119651849,84693499,345,1570,881,824,91,6800
Oil tanker,136,65,2006,2008,2008,2008,5000836829,8750395618,628,1435,1434,1447,596,45626
Ferry-RoPax,1405,22,1997,1997,2000,2001,19410168413,4312965504,126,1988,589,462,4269,327042
Service - tug,39,22,1987,1994,1996,1998,14341149,10523657,208,1307,1139,993,46,3430
Liquefied gas tanker,105,27,2009,2009,2010,2010,220319819,218687064,600,604,577,583,133,9951
Ferry-pax only,3,3,1992,1992,1989,1987,7326782,1213399,4686,11166,2743,5299,7,511
Offshore,16,11,2010,2009,2012,2012,35775779,31182331,406,704,595,639,23,1717
Refrigerated bulk,5,4,1994,1993,1993,1993,35560753,39137813,1270,1368,1344,1355,20,1505
