Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,817,478,141843,270573,2009,2009,2009,2009,600,1189,1476,1482,75,141,364,365,35,43,39,39,8624.6,668046,680872,74917959,130150933,140299331,91699,243216,304164
Bulk carrier,777,302,16386,28614,2002,2008,2004,2004,483,971,691,692,53,125,212,213,117,142,174,173,1747.8,135243,137840,10176645,23065451,28760741,13097,47525,56849
General cargo,530,221,5447,6484,1998,2003,2003,2007,420,931,1196,1054,55,110,343,295,74,105,96,106,1012.8,77618,79108,3311062,11308971,16476919,6247,32836,44574
Container,471,44,5404,6583,2005,2002,2005,2005,466,491,475,475,46,61,76,75,44,47,58,58,1164.9,89570,91290,5729436,20188861,22520061,12164,44996,53503
Chemical tanker,365,197,7917,12401,2010,2009,2012,2012,612,804,1102,1082,82,100,225,224,58,81,62,63,1622.2,125042,127443,4480560,21858008,25548308,12276,69156,84265
Vehicle,259,162,6755,2423,2008,2008,2007,2007,295,415,439,468,27,35,88,102,9,11,16,19,432.3,33489,34132,2454074,10819836,12530473,9475,36015,38760
Service - tug,233,77,48,40,2003,2003,2002,2001,286,881,482,548,127,479,1253,1432,24,227,332,380,141.1,10596,10799,1012591,2394472,3206068,4346,11222,15151
Liquefied gas tanker,162,112,31211,30166,2008,2008,2010,2010,1540,2998,2930,2870,222,240,431,415,43,56,68,71,3832.2,259939,264929,7439860,52868450,44304318,45925,398171,613398
Ro-Ro,108,27,399,274,2008,2006,1990,1990,296,966,1669,1364,63,143,389,379,28,58,84,93,194.9,14796,15080,436283,1984250,1237023,4040,9662,11912
Ferry-pax only,57,2,29,3,1993,1982,1991,1990,427,1100,819,845,7,650,140,206,19,24,87,84,34.1,2562,2612,229925,468264,589868,4034,9380,12366
Refrigerated bulk,32,4,303,285,2007,2007,2007,2007,292,319,674,675,26,28,177,177,8,9,9,9,108.3,8273,8432,845009,1846386,2079781,26407,56272,60757
Service - other,14,9,14,15,2003,2004,2005,2005,305,682,798,812,76,108,198,188,40,107,244,230,7.3,550,560,107649,220872,238003,7689,17110,19319
