Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,372,41,50,47,2012,2007,2009,2010,89,806,362,508,89,483,1060,1105,26,178,563,562,190.4,14296,14571,1202420,2843362,3807108,3232,8346,11269
Oil tanker,148,26,75,113,2008,2010,2009,2009,69,24,37,34,44,36,89,84,19,33,47,45,191.5,14602,14882,128673,161576,167670,869,2741,3605
Service - other,107,7,17,10,2008,2011,2010,2008,131,603,302,315,47,1156,1015,662,24,194,196,134,74.1,5562,5669,67725,138958,149735,633,1408,1590
Container,68,18,291,347,2005,2004,2007,2007,63,73,154,150,33,36,170,167,70,75,59,59,125.1,9595,9780,296768,1064420,1175561,4364,16152,19101
Ro-Ro,17,12,9,13,2011,2011,2011,2010,463,642,670,684,119,108,190,182,57,76,113,132,22.0,1651,1683,48381,372997,176014,2846,6945,9901
Vehicle,10,10,30,10,2011,2011,2012,2012,53,52,54,54,16,20,20,20,6,8,9,9,3.5,272,277,10583,46661,54039,1058,4023,4329
Bulk carrier,6,6,11,19,2004,2004,2006,2007,51,56,57,57,31,82,127,126,139,150,185,184,5.4,419,427,7104,15072,18390,1184,4023,4725
General cargo,6,6,9,14,2002,2002,2002,2001,215,2236,198,208,49,321,632,645,82,95,146,146,3.9,290,295,31301,91100,131157,5217,17760,25423
Chemical tanker,6,6,3,6,2013,2013,2013,2013,16,19,19,19,20,20,21,21,26,25,26,26,5.9,459,468,1072,7853,9055,179,1543,1897
Ferry-RoPax,1,1,2,0,1979,1979,1979,1979,3191,3191,3191,3191,165,165,165,165,359,359,359,359,1.5,110,112,11845,25625,34070,11845,26443,37683
