int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Limassol,1647,482,2000,2001,2002,2003,18732084632,20673937374,339,1032,655,716,4242,324158
Famagusta,943,138,1982,1989,1993,1995,1226053441,1455203752,131,610,348,423,597,45285
Vassiliko,599,337,2000,2004,2008,2008,17445061929,30065738341,600,1271,1795,1870,2435,187650
Larnaca,668,260,2000,1999,2006,2005,4329951930,3892906803,443,676,725,668,1076,82189
Paphos,34,32,1993,1993,1998,1998,481947690,641685163,652,947,1396,1510,93,7178
Kyrenia,221,36,1982,1992,1992,2000,766422845,695919252,124,754,528,665,281,21320
Ayia Napa,75,64,1996,1995,2000,2000,1033615295,1573799338,697,1169,936,950,177,13606
Latchi,22,21,1995,1996,1999,2000,309470747,498838501,697,817,696,692,50,3822
Xeros,5,5,1982,1982,1996,1995,85661225,119555210,783,2682,5118,5099,19,1430
Liopetri,10,10,1994,1994,2001,2002,506556927,967340763,1168,2551,3295,3693,58,4513
Dhekelia,16,15,2003,2003,2007,2008,368563117,583065730,702,1154,1246,1247,57,4411
Akrotiri,36,34,1995,1996,2008,2009,1081440479,1762779417,817,1226,1740,1748,133,10233
Karavostasi,7,6,1994,1992,1996,1997,40214971,53675003,930,1057,854,836,14,1052
Aradhippou,4,4,1989,1989,1997,1998,155176526,261464306,2252,2084,1761,1720,21,1625
Psimolofou,3,3,1987,1987,1994,1994,69960261,114812081,1083,1831,2545,2596,8,625
Nicosia,2,2,1980,1980,1994,1994,6006647,8014868,757,757,1060,1068,1,100
